Step,Config,Temperature,Candidate_Value,Accepted_Value,Best_Value
0,0.3_3|0.4_0|0.5_1|0.5_3|0.5_4|0.6_1|1.11_1|1.14_0|1.15_0|1.1_0|4.11_0|4.11a_1|4.11a_2|4.11a_3|4.11b_2|4.13_0|4.1_1|4.1_2|4.2_1|4.2_2|4.3a_0,9000.0,18,18,18
1,0.1_2|0.3_2|0.5_1|0.5_2|1.0_0|1.11_1|1.11_2|1.12_0|1.14_0|1.15_0|1.1_0|1.6_0|1.7_1|1.7_2|1.8_0|4.0_0|4.11a_1|4.11a_3|4.1_2|4.2_1|4.2_2|4.2_3|4.3_1|4.3a_0|4.4_0,8100.000000000001,46,46,18
2,0.1_2|0.3_4|0.5_2|0.5_3|0.5_4|0.6_1|1.11_2|1.13_0|1.14_0|1.1_0|1.8_0|4.11_0|4.11b_1|4.11b_2|4.1_1|4.2_3|4.3_1|4.3_2|4.4_0,7290.000000000001,19,19,18
3,0.1_1|0.2_0|0.3_1|0.3_2|0.3_3|0.4_0|0.5_1|0.5_2|1.0_0|1.11_1|1.13_0|1.14_0|1.15_0|1.1_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.11b_2|4.13_0|4.2_1|4.3_1|4.3_2,6561.0,29,29,18
4,0.1_1|0.3_1|0.3_3|0.3_4|0.4_0|0.5_2|0.5_3|0.6_1|1.0_0|1.11_1|1.11_2|1.13_0|1.8_0|1.9_0|4.0_0|4.11a_2|4.11a_3|4.11b_2|4.13_0|4.2_1|4.2_2|4.2_3|4.3_2|4.3a_0|4.4_0,5904.900000000001,7,7,7
5,0.1_2|0.2_0|0.3_2|0.3_3|0.3_4|0.5_1|0.5_2|0.5_3|1.14_0|1.1_0|1.6_0|1.7_1|1.8_0|1.9_0|4.0_0|4.11_0|4.13_0|4.1_1|4.2_1|4.3_2,5314.410000000001,45,45,7
6,0.2_0|0.3_4|0.5_1|0.5_3|1.0_0|1.11_2|1.12_0|1.13_0|1.14_0|1.15_0|1.7_1|1.7_2|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_1|4.2_1|4.2_3|4.3_1|4.3_2|4.3a_0,4782.969000000001,119,119,7
7,0.1_2|0.3_2|0.3_3|0.3_4|0.5_1|0.5_2|0.5_3|1.0_0|1.11_1|1.13_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11b_1|4.2_2|4.2_3|4.3_2|4.3a_0,4304.672100000001,24,24,7
8,0.1_1|0.1_2|0.3_2|0.3_3|0.3_4|0.4_0|0.5_2|1.11_1|1.13_0|1.15_0|1.1_0|1.6_0|1.7_2|4.0_0|4.11_0|4.11a_3|4.11b_1|4.11b_2|4.1_2|4.2_3|4.3_2|4.3a_0,3874.204890000001,104,104,7
9,0.1_1|0.1_2|0.2_0|0.3_4|0.5_1|0.5_3|0.5_4|0.6_1|1.11_1|1.13_0|1.1_0|1.6_0|1.7_1|1.7_2|1.8_0|4.0_0|4.11a_1|4.11b_1|4.11b_2|4.1_1|4.1_2|4.3_2|4.3a_0|4.4_0,3486.784401000001,18,18,7
10,0.1_2|0.2_0|0.3_2|0.3_4|0.4_0|0.5_1|1.0_0|1.11_1|1.6_0|1.7_1|1.7_2|4.11_0|4.11a_1|4.2_1|4.2_2|4.2_3|4.3_2|4.3a_0|4.4_0,3138.105960900001,209,209,7
11,0.1_1|0.3_2|0.3_4|0.5_1|0.5_2|1.11_1|1.13_0|1.14_0|1.15_0|1.1_0|1.6_0|1.7_1|1.7_2|1.8_0|4.11_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_1|4.1_2|4.2_2|4.2_3|4.3_1|4.4_0,2824.295364810001,96,96,7
12,0.1_1|0.3_3|0.3_4|0.4_0|0.5_1|0.5_2|0.5_3|0.6_1|1.0_0|1.11_1|1.14_0|1.15_0|1.1_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11a_3|4.11b_2|4.13_0|4.1_1|4.2_2|4.2_3|4.3_2,2541.8658283290006,10,10,7
13,0.3_2|0.3_4|0.4_0|0.5_2|0.6_1|1.0_0|1.11_1|1.12_0|1.13_0|1.1_0|1.7_1|1.8_0|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11b_1|4.1_2|4.2_3|4.3_1|4.3a_0|4.4_0,2287.679245496101,22,22,7
14,0.1_1|0.2_0|0.3_2|0.3_4|0.4_0|0.5_1|0.5_3|0.5_4|0.6_1|1.0_0|1.11_1|1.12_0|1.14_0|1.15_0|1.1_0|1.6_0|1.7_2|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_2|4.11b_1|4.11b_2|4.1_1|4.2_1|4.2_2|4.2_3|4.4_0,2058.911320946491,11,11,7
15,0.2_0|0.3_2|0.4_0|0.5_1|0.5_3|0.5_4|1.15_0|1.1_0|1.9_0|4.11_0|4.11a_1|4.11a_2|4.11b_1|4.11b_2|4.1_1|4.1_2|4.2_1|4.2_3|4.3_1,1853.0201888518416,132,132,7
16,0.1_2|0.3_1|0.3_4|0.4_0|1.0_0|1.11_1|1.11_2|1.13_0|1.6_0|1.7_1|1.7_2|1.9_0|4.0_0|4.11a_2|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_2|4.2_2|4.2_3|4.3_1|4.3_2|4.3a_0,1667.7181699666576,315,315,7
17,0.1_2|0.3_2|0.3_3|0.5_2|0.6_1|1.0_0|1.11_1|1.14_0|1.1_0|1.6_0|1.8_0|1.9_0|4.2_1|4.2_2|4.2_3|4.3a_0|4.4_0,1500.9463529699917,35,35,7
18,0.2_0|0.3_4|0.5_1|0.5_4|0.6_1|1.0_0|1.11_2|1.12_0|1.13_0|1.14_0|1.15_0|1.9_0|4.11_0|4.11a_2|4.13_0|4.1_2|4.2_1|4.2_2|4.2_3|4.3_1|4.3_2|4.3a_0|4.4_0,1350.851717672993,27,27,7
19,0.1_1|0.1_2|0.3_1|0.3_2|0.3_4|0.4_0|0.5_1|1.11_2|1.12_0|1.14_0|1.15_0|1.7_2|1.9_0|4.0_0|4.11_0|4.11a_3|4.13_0|4.2_1|4.2_3|4.3_2|4.3a_0,1215.7665459056934,253,253,7
20,0.1_1|0.1_2|0.3_1|0.3_2|0.3_3|0.3_4|0.5_1|1.11_2|1.12_0|1.13_0|1.1_0|1.6_0|1.8_0|4.11a_2|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.2_2|4.2_3|4.3_1|4.3_2|4.3a_0|4.4_0,1094.1898913151242,110,110,7
21,0.3_1|0.3_3|0.4_0|0.5_3|0.5_4|1.11_2|1.15_0|1.6_0|1.7_1|1.8_0|4.0_0|4.2_2|4.3_1,984.7709021836118,169,169,7
22,0.2_0|0.3_3|0.4_0|0.5_2|0.5_3|1.11_2|1.1_0|1.6_0|1.7_2|4.11_0|4.11a_1|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_1|4.1_2|4.2_1|4.2_3|4.4_0,886.2938119652507,50,50,7
23,0.1_1|0.3_2|0.3_3|0.3_4|0.4_0|0.5_2|1.11_1|1.14_0|1.15_0|1.1_0|1.8_0|4.0_0|4.11a_3|4.11b_1|4.1_1|4.1_2|4.3_1|4.3a_0|4.4_0,797.6644307687255,91,91,7
24,0.1_1|0.2_0|0.3_1|0.3_2|0.3_3|0.3_4|0.5_2|0.5_3|0.6_1|1.11_2|1.12_0|1.13_0|1.14_0|1.6_0|1.7_1|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.11b_1|4.13_0|4.4_0,717.897987691853,10,10,7
25,0.2_0|0.3_1|0.3_2|0.4_0|0.5_1|0.5_2|0.5_3|0.6_1|1.0_0|1.13_0|1.14_0|1.15_0|1.7_1|1.9_0|4.0_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_1|4.2_1|4.2_2|4.2_3|4.3_2|4.4_0,646.1081889226678,11,11,7
26,0.1_1|0.1_2|0.3_1|0.3_4|0.4_0|0.5_1|0.5_2|0.5_3|0.5_4|1.12_0|1.13_0|1.1_0|1.9_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.2_1|4.2_2|4.2_3|4.3a_0|4.4_0,581.4973700304009,30,30,7
27,0.1_1|0.1_2|0.2_0|0.4_0|0.5_1|0.5_2|0.5_3|0.5_4|1.0_0|1.11_2|1.13_0|1.15_0|1.1_0|1.7_2|1.9_0|4.11_0|4.11a_1|4.13_0|4.1_1|4.1_2|4.2_1|4.3a_0,523.3476330273609,28,28,7
28,0.1_1|0.3_1|0.3_3|0.5_1|0.5_2|0.5_3|0.6_1|1.0_0|1.12_0|1.13_0|1.14_0|1.1_0|1.6_0|1.7_1|1.7_2|1.8_0|4.11a_2|4.11a_3|4.11b_1|4.1_1|4.2_1|4.2_3|4.3_2,471.01286972462486,7,7,7
29,0.4_0|0.5_2|0.6_1|1.0_0|1.11_2|1.12_0|1.13_0|1.14_0|1.15_0|1.7_2|1.9_0|4.0_0|4.11a_1|4.11a_2|4.11a_3|4.11b_2|4.13_0|4.3_1|4.3_2|4.4_0,423.91158275216236,45,45,7
30,0.1_1|0.2_0|0.3_2|0.5_1|0.6_1|1.11_2|1.13_0|1.14_0|1.1_0|1.6_0|1.7_1|1.7_2|1.9_0|4.0_0|4.11a_2|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_1|4.1_2|4.2_1|4.2_3|4.3_2|4.3a_0,381.5204244769461,56,56,7
31,0.1_1|0.2_0|0.3_1|0.3_2|0.3_3|0.5_1|0.5_2|0.5_3|0.6_1|1.0_0|1.12_0|1.14_0|1.15_0|1.7_1|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.11b_2|4.13_0|4.1_1|4.2_3|4.3_1|4.3_2|4.4_0,343.3683820292515,7,7,7
