Step,Config,Temperature,Candidate_Value,Accepted_Value,Best_Value
0,0.1_1|0.1_2|0.3_2|0.3_4|0.5_1|0.5_4|0.6_1|1.0_0|1.13_0|1.14_0|1.1_0|1.6_0|1.8_0|1.9_0|4.11a_1|4.11a_3|4.11b_1|4.13_0|4.1_1|4.2_1|4.2_2|4.3_1|4.3_2|4.4_0,6158.270776641571,15,15,15
1,0.1_1|0.2_0|0.3_3|0.4_0|0.5_2|0.5_4|1.11_2|1.12_0|1.13_0|1.15_0|1.6_0|4.11_0|4.11a_3|4.1_1|4.2_1|4.2_2|4.2_3|4.3_2|4.4_0,5028.281418489414,108,108,15
2,0.2_0|0.3_2|0.3_3|0.5_2|0.5_3|0.6_1|1.11_1|1.11_2|1.12_0|1.13_0|1.1_0|1.6_0|1.8_0|4.11_0|4.11b_2|4.1_1|4.2_3|4.3_2,4449.061730126365,26,26,15
3,0.1_1|0.1_2|0.2_0|0.3_3|0.5_2|0.5_3|1.0_0|1.12_0|1.13_0|1.7_2|4.11a_2|4.11a_3|4.13_0|4.2_1|4.3_1|4.4_0,4084.1429487023024,45,45,15
4,0.1_2|0.3_1|0.3_3|0.5_1|0.5_2|0.5_3|1.11_2|1.14_0|1.15_0|1.6_0|1.7_2|1.8_0|1.9_0|4.11a_2|4.11b_1|4.11b_2|4.1_1|4.2_1|4.3a_0,3827.6288258820373,84,84,15
5,0.3_4|0.4_0|0.5_1|0.5_2|0.5_4|1.0_0|1.13_0|1.1_0|1.6_0|1.7_1|1.9_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.13_0|4.2_1|4.2_2|4.2_3|4.3_2|4.4_0,3634.620163062334,23,23,15
6,0.1_1|0.1_2|0.3_3|0.5_1|0.5_2|0.5_4|1.0_0|1.11_1|1.11_2|1.12_0|1.13_0|1.1_0|1.6_0|1.7_1|1.7_2|4.11a_2|4.1_1|4.1_2|4.2_1|4.2_2|4.2_3|4.3_1|4.3a_0|4.4_0,3482.503603691238,17,17,15
7,0.3_2|0.3_4|0.4_0|0.5_1|0.5_3|0.5_4|0.6_1|1.0_0|1.11_2|1.13_0|1.14_0|1.15_0|1.1_0|1.7_1|1.7_2|1.9_0|4.0_0|4.11a_3|4.1_2|4.2_1|4.2_3|4.3_2,3358.519859369465,29,29,15
8,0.1_1|0.3_2|0.3_3|0.5_4|0.6_1|1.11_1|1.11_2|1.12_0|1.13_0|1.1_0|1.6_0|1.8_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.2_1|4.2_3|4.3_1,3254.8623095837847,61,61,15
9,0.1_1|0.3_1|0.3_2|0.3_3|0.4_0|0.5_2|0.6_1|1.11_1|1.13_0|1.15_0|1.1_0|1.6_0|1.7_1|1.7_2|4.11a_1|4.11a_2|4.11b_1|4.11b_2|4.1_1|4.1_2|4.2_2|4.3_2|4.3a_0|4.4_0,3166.4550859927226,33,33,15
10,0.3_2|0.3_4|0.4_0|0.5_2|0.5_4|1.11_2|1.14_0|1.6_0|1.7_2|1.8_0|4.11a_2|4.11a_3|4.13_0|4.1_1|4.2_2|4.3_2|4.3a_0,3089.8376620734493,274,274,15
11,0.1_2|0.3_1|0.3_2|0.4_0|0.5_1|0.5_2|0.6_1|1.11_1|1.12_0|1.13_0|1.15_0|1.1_0|1.6_0|1.7_2|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.13_0|4.1_2|4.2_1|4.2_2|4.3_1|4.3_2|4.3a_0|4.4_0,3022.5593964250993,23,23,15
12,0.1_2|0.3_3|0.3_4|0.4_0|0.6_1|1.11_1|1.12_0|1.1_0|1.7_1|1.7_2|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11b_1|4.11b_2|4.13_0|4.1_1|4.2_1,2962.8298799717386,95,95,15
13,0.1_1|0.3_1|0.3_2|0.3_3|0.3_4|0.4_0|0.5_2|1.0_0|1.11_2|1.14_0|1.15_0|1.7_2|1.8_0|4.0_0|4.11_0|4.11b_1|4.11b_2|4.2_1|4.3_2|4.3a_0,2909.306573560749,100,100,15
14,0.1_1|0.3_1|0.3_3|0.3_4|0.5_1|0.5_2|0.6_1|1.11_1|1.11_2|1.12_0|1.13_0|1.14_0|1.1_0|1.7_2|1.8_0|4.11_0|4.11a_2|4.11b_1|4.1_1|4.1_2|4.2_2|4.3_1|4.3_2|4.3a_0,2860.9603182242695,15,15,15
15,0.1_2|0.2_0|0.3_1|0.3_2|0.3_4|0.4_0|0.5_1|0.5_3|0.5_4|0.6_1|1.13_0|1.14_0|1.15_0|1.7_2|1.8_0|1.9_0|4.11_0|4.11a_1|4.11a_2|4.11b_2|4.1_1|4.1_2|4.2_1|4.3_1|4.3_2|4.4_0,2816.9871006820485,49,49,15
16,0.1_1|0.2_0|0.3_4|0.5_1|0.5_2|1.11_1|1.11_2|1.12_0|1.13_0|1.14_0|1.1_0|1.6_0|1.7_2|1.8_0|4.11a_2|4.11b_1|4.11b_2|4.2_3|4.3_2,2776.7483892459236,212,212,15
17,0.2_0|0.3_1|0.3_2|0.3_4|0.6_1|1.12_0|1.7_1|1.7_2|4.0_0|4.11_0|4.1_2|4.2_3|4.3a_0|4.4_0,2739.7297194646894,310,310,15
18,0.1_2|0.3_1|0.3_2|0.5_2|1.11_1|1.11_2|1.14_0|1.1_0|1.7_2|1.9_0|4.11_0|4.1_1|4.1_2|4.3a_0,2705.511282119949,511,310,15
