Step,Config,Temperature,Candidate_Value,Accepted_Value,Best_Value
0,0.2_0|0.3_1|0.3_2|0.3_4|0.5_2|0.5_3|0.6_1|1.0_0|1.12_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_2|4.11b_1|4.13_0|4.1_1|4.2_2,5263.1578947368425,24,24,24
1,0.1_2|0.2_0|0.3_4|0.4_0|0.5_2|0.5_3|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_1|4.11a_3|4.11b_1|4.1_2|4.2_1|4.2_2|4.2_3|4.3_2|4.3a_0,3571.4285714285716,188,188,24
2,0.1_1|0.1_2|0.3_3|1.11_1|1.12_0|1.13_0|1.14_0|1.15_0|1.1_0|1.7_1|1.8_0|4.11a_2|4.11a_3|4.11b_2|4.13_0|4.1_1|4.2_1|4.2_2|4.3_1|4.3_2|4.3a_0|4.4_0,2702.7027027027025,229,229,24
3,0.1_2|0.3_1|0.3_3|0.5_3|0.6_1|1.11_1|1.11_2|1.14_0|1.6_0|1.7_1|1.8_0|1.9_0|4.11a_1|4.11a_3|4.11b_1|4.2_1|4.2_3|4.3a_0|4.4_0,2173.913043478261,62,62,24
4,0.3_2|0.3_3|0.5_2|0.5_4|0.6_1|1.12_0|1.14_0|1.6_0|1.7_1|4.0_0|4.11a_2|4.11b_1|4.1_2|4.2_1|4.2_2|4.3_1|4.3a_0|4.4_0,1818.1818181818182,18,18,18
5,0.1_2|0.2_0|0.3_3|0.4_0|0.5_1|0.5_2|1.11_1|1.12_0|1.1_0|1.6_0|1.8_0|1.9_0|4.11_0|4.11a_2|4.11b_2|4.1_1|4.1_2|4.2_1|4.2_3|4.3_2|4.4_0,1562.5,59,59,18
6,0.3_3|0.3_4|0.5_1|0.5_2|0.6_1|1.0_0|1.13_0|1.7_1|1.7_2|4.11a_2|4.13_0|4.1_1|4.1_2|4.2_3|4.3a_0,1369.86301369863,21,21,18
7,0.1_1|0.3_1|0.3_2|0.3_3|0.3_4|0.5_3|0.6_1|1.0_0|1.12_0|1.14_0|1.1_0|1.7_1|1.7_2|4.11_0|4.11a_2|4.11a_3|4.11b_2|4.13_0|4.1_1|4.2_2|4.3_1|4.3a_0|4.4_0,1219.5121951219514,14,14,14
8,0.1_1|0.1_2|0.2_0|0.3_1|0.5_1|0.5_2|0.5_4|0.6_1|1.11_1|1.13_0|1.14_0|1.15_0|1.1_0|1.9_0|4.11a_2|4.11b_1|4.1_1|4.1_2|4.2_2|4.3_1|4.3a_0|4.4_0,1098.901098901099,11,11,11
9,0.2_0|0.3_1|0.4_0|0.5_1|0.5_3|0.6_1|1.0_0|1.11_1|1.12_0|1.15_0|1.7_2|1.8_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.11b_2|4.1_1|4.1_2|4.2_2|4.3_2,1000.0,115,11,11
10,0.1_2|0.3_3|0.3_4|0.5_3|0.5_4|0.6_1|1.11_2|1.12_0|1.15_0|1.7_1|1.7_2|1.9_0|4.0_0|4.11a_2|4.11a_3|4.13_0|4.1_1|4.1_2|4.2_1|4.2_2|4.3_1|4.3_2|4.3a_0|4.4_0,917.4311926605504,14,14,11
11,0.1_1|0.1_2|0.2_0|0.3_1|0.4_0|0.5_3|1.0_0|1.11_1|1.12_0|1.13_0|1.14_0|1.15_0|1.6_0|1.7_1|1.9_0|4.0_0|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_1|4.1_2|4.2_1|4.2_2|4.2_3|4.3_1|4.3_2|4.3a_0,847.457627118644,140,14,11
12,0.1_1|0.3_3|0.3_4|0.5_3|0.6_1|1.0_0|1.11_1|1.12_0|1.13_0|1.15_0|1.1_0|1.9_0|4.11_0|4.11a_1|4.11a_3|4.11b_2|4.1_1|4.1_2|4.2_2|4.2_3|4.3a_0|4.4_0,787.4015748031495,17,17,11
13,0.1_1|0.2_0|0.3_1|0.4_0|0.5_2|0.5_4|1.0_0|1.11_1|1.13_0|1.14_0|1.1_0|1.6_0|1.7_2|1.8_0|4.11_0|4.11a_1|4.13_0|4.1_2|4.2_2|4.2_3|4.3_1|4.3a_0,735.2941176470589,81,81,11
14,0.1_1|0.1_2|0.2_0|0.3_1|0.3_2|0.3_3|0.3_4|0.4_0|0.5_1|0.5_2|0.6_1|1.11_1|1.12_0|1.15_0|1.7_1|1.9_0|4.11_0|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_1|4.2_3|4.3_1,689.6551724137931,20,20,11
15,0.1_1|0.2_0|0.3_1|0.3_3|0.4_0|0.5_3|1.0_0|1.12_0|1.15_0|1.8_0|4.11a_2|4.1_2|4.2_3|4.3_2|4.4_0,649.3506493506493,146,146,11
16,0.1_1|0.1_2|0.2_0|0.3_1|0.3_3|0.4_0|0.5_2|0.5_4|0.6_1|1.0_0|1.11_2|1.15_0|1.1_0|1.7_1|1.7_2|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_2|4.13_0|4.2_2|4.2_3|4.3_1|4.4_0,613.4969325153374,9,9,9
17,0.1_1|0.2_0|0.3_2|0.3_4|0.4_0|0.5_1|0.5_2|0.5_3|0.6_1|1.11_1|1.12_0|1.14_0|1.7_1|1.7_2|4.0_0|4.11a_1|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_2|4.2_1|4.2_3|4.3_2,581.3953488372093,22,22,9
18,0.1_1|0.3_3|0.3_4|0.5_2|0.5_3|0.5_4|1.11_1|1.11_2|1.14_0|1.1_0|1.6_0|1.7_1|1.7_2|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11a_3|4.13_0|4.1_1|4.2_2|4.3a_0|4.4_0,552.4861878453038,24,24,9
19,0.1_1|0.1_2|0.2_0|0.3_1|0.3_2|0.3_3|0.3_4|0.4_0|0.5_1|0.5_2|0.5_3|0.5_4|1.11_2|1.12_0|1.13_0|1.15_0|1.7_2|1.8_0|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11b_1|4.11b_2|4.13_0|4.1_2|4.4_0,526.3157894736842,20,20,9
20,0.1_1|0.1_2|0.3_3|0.4_0|0.5_2|1.11_1|1.14_0|1.15_0|1.8_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.11b_2|4.2_1|4.2_3|4.3_1|4.3_2|4.3a_0|4.4_0,502.5125628140703,163,163,9
21,0.1_1|0.2_0|0.3_1|0.3_2|0.4_0|0.5_1|0.5_3|1.12_0|1.14_0|1.15_0|4.0_0|4.11b_1|4.11b_2|4.13_0|4.1_2|4.2_3|4.3_1|4.3a_0|4.4_0,480.7692307692308,151,151,9
22,0.1_2|0.3_1|0.3_2|0.3_4|0.5_1|0.5_2|1.0_0|1.11_1|1.11_2|1.13_0|1.14_0|1.1_0|1.7_1|1.8_0|1.9_0|4.11b_2|4.13_0|4.1_1|4.1_2|4.2_1|4.2_3|4.4_0,460.82949308755764,92,92,9
