Step,Config,Temperature,Candidate_Value,Accepted_Value,Best_Value
0,0.1_2|0.2_0|0.3_2|0.5_2|0.5_3|1.11_1|1.11_2|1.13_0|1.14_0|1.15_0|1.7_1|1.7_2|4.0_0|4.11a_3|4.11b_1|4.11b_2|4.1_1|4.1_2|4.2_1|4.2_3,9000.0,238,238,238
1,0.1_1|0.1_2|0.2_0|0.3_4|0.6_1|1.14_0|1.1_0|4.0_0|4.11_0|4.11a_1|4.11a_3|4.11b_2|4.2_1|4.2_3|4.3_2|4.4_0,8100.000000000001,171,171,171
2,0.1_1|0.2_0|0.3_1|0.3_2|0.4_0|0.5_1|0.5_2|0.5_3|0.6_1|1.0_0|1.11_1|1.12_0|1.13_0|1.15_0|1.7_1|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11b_1|4.13_0|4.1_2|4.2_2|4.2_3|4.3_1|4.3_2|4.3a_0,7290.000000000001,9,9,9
3,0.1_2|0.3_1|0.3_2|0.5_1|0.5_2|0.5_4|1.0_0|1.11_2|1.12_0|1.13_0|1.14_0|1.15_0|1.7_1|1.8_0|4.0_0|4.11a_3|4.11b_1|4.11b_2|4.4_0,6561.0,37,37,9
4,0.1_1|0.2_0|0.3_1|0.3_2|0.5_2|0.5_3|0.6_1|1.11_1|1.11_2|1.6_0|1.7_1|4.0_0|4.11a_1|4.11a_2|4.11b_2|4.1_1|4.1_2|4.2_1|4.2_3|4.3a_0,5904.900000000001,56,56,9
5,0.1_1|0.3_1|0.3_3|0.3_4|0.5_1|0.5_2|0.5_3|0.5_4|0.6_1|1.11_1|1.13_0|1.14_0|1.7_1|1.7_2|1.8_0|1.9_0|4.0_0|4.11a_1|4.11a_3|4.11b_2|4.3_1|4.3_2|4.3a_0|4.4_0,5314.410000000001,6,6,6
6,0.1_1|0.2_0|0.3_1|0.3_4|0.5_4|1.0_0|1.13_0|1.14_0|1.15_0|1.7_1|1.7_2|1.9_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.13_0|4.2_2|4.3_1|4.3_2|4.3a_0,4782.969000000001,211,211,6
7,0.1_2|0.2_0|0.3_3|0.3_4|0.4_0|0.5_3|0.5_4|0.6_1|1.11_1|1.11_2|1.13_0|1.15_0|1.1_0|1.7_2|4.0_0|4.11_0|4.11a_1|4.11a_2|4.1_1|4.1_2|4.2_2|4.2_3,4304.672100000001,30,30,6
8,0.1_1|0.1_2|0.2_0|0.3_1|0.3_2|0.3_3|0.4_0|0.5_1|0.5_2|0.5_3|0.6_1|1.11_2|1.14_0|1.15_0|1.6_0|1.7_1|1.7_2|4.11_0|4.11a_1|4.11a_2|4.11a_3|4.2_2|4.3_1|4.3a_0|4.4_0,3874.204890000001,14,14,6
9,0.1_2|0.2_0|0.3_2|0.5_2|0.5_3|0.5_4|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.7_1|1.7_2|1.8_0|1.9_0|4.11_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.13_0|4.1_1|4.1_2|4.2_1|4.2_3|4.3a_0|4.4_0,3486.784401000001,62,14,6
10,0.1_1|0.1_2|0.2_0|0.3_2|0.3_4|0.5_2|1.0_0|1.11_1|1.11_2|1.15_0|1.1_0|1.7_1|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.11b_1|4.1_1|4.1_2|4.2_1|4.2_3,3138.105960900001,202,202,6
11,0.1_1|0.1_2|0.2_0|0.3_1|0.3_3|0.3_4|0.5_4|1.11_2|1.1_0|1.6_0|1.7_1|1.7_2|4.11_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.1_2|4.2_1|4.2_2,2824.295364810001,172,172,6
12,0.1_2|0.2_0|0.3_1|0.3_4|0.5_2|0.6_1|1.0_0|1.13_0|1.14_0|1.1_0|1.7_2|1.9_0|4.11_0|4.11a_1|4.11a_2|4.11b_1|4.11b_2|4.13_0|4.1_2|4.2_1|4.3_2|4.3a_0,2541.8658283290006,52,52,6
13,0.1_1|0.3_1|0.3_4|0.4_0|0.5_2|0.5_3|0.5_4|1.0_0|1.12_0|1.15_0|1.1_0|1.7_2|4.0_0|4.11a_2|4.11a_3|4.1_2|4.3_1|4.3a_0|4.4_0,2287.679245496101,34,34,6
14,0.1_2|0.2_0|0.3_1|0.3_2|0.3_3|0.4_0|0.5_1|0.5_2|0.5_3|0.5_4|1.0_0|1.11_2|1.6_0|1.7_1|4.0_0|4.11a_1|4.11a_3|4.11b_1|4.13_0|4.1_1|4.2_1|4.2_3|4.3a_0|4.4_0,2058.911320946491,13,13,6
15,0.1_1|0.2_0|0.3_1|0.3_2|0.5_2|0.5_4|1.0_0|1.11_1|1.11_2|1.12_0|1.15_0|1.1_0|1.9_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_1|4.1_2|4.4_0,1853.0201888518416,84,84,6
16,0.3_2|0.3_4|0.5_1|0.5_4|1.0_0|1.11_1|1.11_2|1.12_0|1.15_0|1.1_0|1.7_1|4.11_0|4.11a_1|4.13_0|4.1_1|4.1_2|4.3_1|4.3_2|4.4_0,1667.7181699666576,77,77,6
17,0.1_1|0.2_0|0.3_1|0.3_2|0.4_0|0.5_1|0.5_4|1.11_1|1.12_0|1.14_0|1.15_0|1.1_0|1.6_0|1.7_1|1.8_0|1.9_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.2_1|4.2_2|4.2_3|4.3_2|4.3a_0,1500.9463529699917,107,107,6
18,0.1_2|0.2_0|0.5_3|0.6_1|1.0_0|1.11_2|1.13_0|1.6_0|1.7_2|1.8_0|4.13_0|4.1_1|4.1_2|4.2_1|4.2_2|4.2_3|4.3_2|4.4_0,1350.851717672993,104,104,6
19,0.3_1|0.3_2|0.4_0|0.5_1|0.5_3|1.11_2|1.12_0|1.15_0|1.1_0|1.7_1|1.7_2|1.8_0|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11b_2|4.13_0|4.2_1|4.2_2|4.2_3|4.3_2,1215.7665459056934,172,104,6
20,0.1_2|0.2_0|0.3_3|0.3_4|0.4_0|0.5_2|0.5_3|1.11_1|1.11_2|1.12_0|1.13_0|1.15_0|1.7_2|1.8_0|1.9_0|4.11_0|4.11b_1|4.1_1|4.1_2|4.2_2|4.2_3|4.3a_0|4.4_0,1094.1898913151242,76,76,6
21,0.1_1|0.3_2|0.3_3|0.3_4|1.11_2|1.13_0|1.14_0|1.15_0|1.1_0|1.6_0|1.7_1|1.7_2|1.9_0|4.0_0|4.11_0|4.11a_2|4.11b_1|4.11b_2|4.1_1|4.2_3|4.3_1|4.3a_0|4.4_0,984.7709021836118,176,176,6
22,0.3_1|0.5_1|0.5_2|0.6_1|1.11_1|1.11_2|1.13_0|1.14_0|1.7_1|1.7_2|1.9_0|4.11b_1|4.11b_2|4.13_0|4.2_1|4.2_3|4.3_1|4.3_2|4.3a_0,886.2938119652507,58,58,6
23,0.2_0|0.3_4|0.4_0|0.5_3|0.5_4|0.6_1|1.0_0|1.11_2|1.13_0|1.15_0|1.7_1|1.7_2|1.9_0|4.11a_1|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_1|4.2_1|4.3_1|4.3_2,797.6644307687255,47,47,6
24,0.1_1|0.3_2|0.4_0|0.5_1|0.5_2|0.5_3|0.5_4|0.6_1|1.13_0|1.15_0|1.6_0|1.7_2|4.11b_1|4.11b_2|4.13_0|4.1_1|4.1_2|4.2_1|4.2_2|4.2_3|4.3a_0,717.897987691853,18,18,6
25,0.3_3|0.3_4|0.5_4|1.12_0|1.13_0|1.15_0|1.1_0|1.7_1|1.8_0|4.11_0|4.11a_2|4.11a_3|4.11b_1|4.2_1|4.2_2|4.3_1|4.3a_0,646.1081889226678,172,172,6
26,0.3_1|0.3_2|0.3_4|0.5_2|0.5_4|1.0_0|1.11_1|1.11_2|1.12_0|1.14_0|1.6_0|1.7_2|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_3|4.11b_1|4.11b_2|4.1_2|4.2_2|4.2_3|4.3_1|4.4_0,581.4973700304009,81,81,6
27,0.3_1|0.3_2|0.3_3|0.5_3|0.5_4|0.6_1|1.0_0|1.13_0|1.15_0|1.1_0|1.9_0|4.11b_1|4.11b_2|4.1_1|4.1_2|4.2_1|4.2_2|4.2_3|4.3_1|4.3_2|4.3a_0,523.3476330273609,21,21,6
28,0.3_1|0.3_2|0.3_3|0.3_4|0.5_1|0.5_2|0.5_3|0.5_4|1.0_0|1.11_2|1.12_0|1.13_0|1.14_0|1.15_0|1.1_0|1.7_1|1.7_2|4.0_0|4.11_0|4.11b_2|4.1_2|4.2_1|4.2_2|4.3_1|4.4_0,471.01286972462486,16,16,6
29,0.1_1|0.1_2|0.3_1|0.3_2|0.5_1|0.5_2|1.0_0|1.11_1|1.13_0|1.14_0|1.15_0|1.7_1|1.7_2|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_3|4.11b_2|4.1_1|4.1_2|4.3a_0|4.4_0,423.91158275216236,65,65,6
30,0.1_2|0.2_0|0.3_1|0.3_3|0.5_1|0.5_4|1.0_0|1.11_2|1.12_0|1.14_0|1.1_0|1.6_0|1.7_1|1.9_0|4.11_0|4.11a_1|4.11a_2|4.2_3|4.3_1|4.3_2|4.4_0,381.5204244769461,42,42,6
31,0.1_1|0.2_0|0.3_1|0.3_3|0.5_2|0.6_1|1.0_0|1.11_1|1.13_0|1.15_0|1.1_0|1.7_1|1.8_0|1.9_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.11b_2|4.2_3|4.3_1|4.3a_0|4.4_0,343.3683820292515,21,21,6
