Step,Config,Temperature,Candidate_Value,Accepted_Value,Best_Value
0,0.3_4|0.4_0|0.5_1|0.5_3|0.5_4|0.6_1|1.11_1|1.11_2|1.13_0|1.14_0|1.7_1|1.7_2|4.0_0|4.11a_2|4.11b_2|4.1_2|4.2_1|4.2_3|4.4_0,9000.0,40,40,40
1,0.2_0|0.3_1|0.4_0|0.5_3|0.5_4|1.13_0|1.1_0|1.6_0|1.7_2|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11b_2|4.13_0|4.2_1|4.3_1|4.3_2|4.3a_0,8100.000000000001,130,130,40
2,0.3_2|0.3_3|0.3_4|0.4_0|0.5_1|0.5_2|0.6_1|1.0_0|1.13_0|1.14_0|1.15_0|1.1_0|1.7_2|1.8_0|1.9_0|4.11_0|4.11a_1|4.11b_1|4.2_3|4.3_1|4.4_0,7290.000000000001,10,10,10
3,0.1_1|0.2_0|0.3_2|0.3_4|0.4_0|0.5_1|0.5_2|0.5_3|1.0_0|1.11_1|1.11_2|1.12_0|1.13_0|1.15_0|1.6_0|1.7_2|4.11_0|4.11a_2|4.11a_3|4.11b_2|4.1_1|4.1_2|4.2_3|4.3a_0|4.4_0,6561.0,65,65,10
4,0.2_0|0.3_2|0.4_0|0.5_1|1.11_1|1.11_2|1.12_0|1.1_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_1|4.11b_2|4.13_0|4.1_1|4.2_1|4.2_2|4.3_1,5904.900000000001,243,243,10
5,0.1_1|0.1_2|0.3_1|0.3_3|0.4_0|0.5_1|1.0_0|1.11_1|1.11_2|1.14_0|1.1_0|1.6_0|1.8_0|4.11a_3|4.11b_1|4.2_1|4.3_1|4.3a_0,5314.410000000001,93,93,10
6,0.3_1|0.3_2|0.3_4|0.4_0|0.5_2|0.6_1|1.11_1|1.11_2|1.12_0|1.13_0|1.15_0|1.7_1|1.7_2|1.8_0|1.9_0|4.11a_1|4.11a_3|4.11b_1|4.13_0|4.1_1|4.1_2|4.2_1|4.3_1|4.3_2,4782.969000000001,158,158,10
7,0.1_1|0.2_0|0.3_4|0.4_0|0.5_1|0.5_2|0.5_3|1.11_1|1.11_2|1.13_0|1.14_0|1.1_0|1.7_1|1.8_0|4.0_0|4.11a_1|4.11a_3|4.13_0|4.1_1|4.2_1|4.2_2|4.2_3|4.3_1,4304.672100000001,76,76,10
8,0.2_0|0.3_1|0.4_0|0.5_1|0.5_4|0.6_1|1.0_0|1.11_1|1.12_0|1.14_0|1.1_0|1.6_0|1.7_2|1.9_0|4.0_0|4.11a_2|4.11b_1|4.11b_2|4.3_1|4.4_0,3874.204890000001,16,16,10
9,0.3_1|0.3_3|0.4_0|0.5_1|0.5_3|0.6_1|1.0_0|1.11_2|1.12_0|1.13_0|1.1_0|1.6_0|1.7_2|4.11a_3|4.1_1|4.3_1|4.3_2|4.3a_0|4.4_0,3486.784401000001,18,18,10
10,0.1_1|0.5_1|0.5_2|0.5_4|1.0_0|1.11_1|1.12_0|1.15_0|1.1_0|1.6_0|1.7_1|1.7_2|1.8_0|1.9_0|4.11a_1|4.11a_2|4.11a_3|4.11b_2|4.13_0|4.3_2|4.3a_0,3138.105960900001,41,41,10
11,0.1_1|0.3_1|0.3_3|0.3_4|0.4_0|0.5_1|0.5_2|0.5_4|1.15_0|1.1_0|1.6_0|4.0_0|4.11a_2|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.3_1|4.3_2|4.3a_0,2824.295364810001,22,22,10
12,0.1_1|0.1_2|0.3_1|0.3_3|0.3_4|0.5_1|0.5_4|0.6_1|1.12_0|1.7_2|1.8_0|4.11a_1|4.11b_1|4.11b_2|4.13_0|4.2_1|4.2_3|4.3_1|4.4_0,2541.8658283290006,20,20,10
13,0.3_1|0.3_2|0.3_4|0.5_1|0.5_2|1.11_2|1.12_0|1.13_0|1.6_0|1.7_1|1.7_2|4.11_0|4.11a_1|4.11a_2|4.11b_2|4.2_2|4.2_3|4.3_1,2287.679245496101,231,231,10
14,0.1_2|0.2_0|0.3_2|0.4_0|0.5_1|0.5_2|0.5_4|0.6_1|1.0_0|1.11_1|1.12_0|1.13_0|1.14_0|1.15_0|1.1_0|1.6_0|1.7_1|1.8_0|4.11_0|4.11b_1|4.13_0|4.1_2|4.2_1|4.2_2|4.3a_0,2058.911320946491,9,9,9
15,0.3_1|0.3_2|0.3_4|0.4_0|0.5_4|1.11_2|1.14_0|1.1_0|4.0_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_1|4.1_2|4.2_2|4.3_1|4.3a_0|4.4_0,1853.0201888518416,185,185,9
16,0.2_0|0.3_3|0.4_0|0.5_1|0.5_3|0.6_1|1.11_1|1.11_2|1.12_0|1.14_0|1.15_0|1.1_0|1.7_1|4.0_0|4.11_0|4.11a_1|4.11a_3|4.1_1|4.2_1|4.3_1|4.3a_0,1667.7181699666576,27,27,9
17,0.1_1|0.2_0|0.3_1|0.3_2|0.3_3|0.3_4|0.4_0|0.5_1|0.5_4|0.6_1|1.0_0|1.12_0|1.1_0|1.7_1|1.9_0|4.0_0|4.11a_2|4.11a_3|4.13_0|4.1_1|4.1_2|4.2_1|4.2_2|4.2_3|4.3_1,1500.9463529699917,10,10,9
18,0.1_1|0.1_2|0.3_1|0.3_3|0.3_4|0.4_0|0.5_4|0.6_1|1.11_1|1.11_2|1.12_0|1.14_0|1.15_0|1.1_0|1.6_0|1.7_2|4.0_0|4.11_0|4.11a_1|4.1_1|4.1_2|4.2_1|4.3a_0,1350.851717672993,49,49,9
19,0.1_1|0.1_2|0.2_0|0.3_1|0.3_2|0.3_3|0.3_4|0.5_3|0.6_1|1.11_1|1.14_0|1.15_0|1.1_0|1.6_0|1.7_1|1.7_2|1.9_0|4.0_0|4.11a_1|4.11a_2|4.11b_1|4.1_1|4.2_1|4.2_3|4.3a_0,1215.7665459056934,26,26,9
20,0.1_1|0.1_2|0.3_3|0.3_4|0.4_0|0.5_2|0.5_4|0.6_1|1.0_0|1.11_1|1.12_0|1.14_0|1.6_0|1.7_1|1.9_0|4.0_0|4.11_0|4.11a_3|4.11b_1|4.1_1|4.2_1|4.3_1|4.3_2|4.3a_0|4.4_0,1094.1898913151242,6,6,6
21,0.1_1|0.1_2|0.3_1|0.3_3|0.5_1|1.0_0|1.13_0|1.1_0|1.7_1|1.8_0|1.9_0|4.11a_2|4.11b_2|4.13_0|4.1_1|4.2_1|4.2_3|4.3_2|4.4_0,984.7709021836118,76,76,6
22,0.1_1|0.3_4|0.4_0|0.5_3|0.6_1|1.11_2|1.12_0|1.13_0|1.14_0|1.7_1|1.9_0|4.0_0|4.11a_2|4.11b_1|4.13_0|4.1_1|4.2_2|4.2_3|4.4_0,886.2938119652507,86,86,6
23,0.1_1|0.1_2|0.3_3|0.3_4|0.5_2|0.5_4|0.6_1|1.11_2|1.13_0|1.14_0|1.15_0|1.1_0|1.6_0|1.7_1|1.7_2|4.0_0|4.11_0|4.11b_2|4.13_0|4.2_1|4.2_2|4.2_3|4.3_1|4.3_2|4.4_0,797.6644307687255,11,11,6
24,0.3_2|0.5_1|0.6_1|1.14_0|1.7_1|1.7_2|1.9_0|4.11a_2|4.11b_2|4.1_1|4.3a_0|4.4_0,717.897987691853,250,11,6
25,0.1_1|0.1_2|0.2_0|0.3_1|0.3_2|0.4_0|0.5_1|0.5_2|0.5_3|0.6_1|1.0_0|1.11_1|1.11_2|1.13_0|1.14_0|1.15_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11a_1|4.11a_2|4.13_0|4.1_2|4.2_2|4.2_3|4.3_2,646.1081889226678,25,25,6
26,0.2_0|0.3_1|0.3_2|0.3_3|0.5_2|1.11_1|1.12_0|1.13_0|1.1_0|1.6_0|1.7_1|1.8_0|4.11_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.1_1|4.2_3|4.3_1|4.3a_0,581.4973700304009,185,185,6
27,0.1_1|0.3_4|0.4_0|0.5_4|1.0_0|1.11_1|1.11_2|1.12_0|1.13_0|1.14_0|1.1_0|1.7_2|4.11_0|4.11a_2|4.11a_3|4.11b_2|4.1_1|4.1_2|4.2_1|4.2_2|4.3_1|4.3_2|4.3a_0,523.3476330273609,160,160,6
28,0.1_2|0.3_1|0.3_3|0.5_1|0.5_2|0.5_4|1.0_0|1.13_0|1.14_0|1.15_0|1.6_0|1.7_2|1.8_0|4.11_0|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_1|4.2_3|4.3_1|4.3_2|4.3a_0,471.01286972462486,24,24,6
29,0.1_1|0.2_0|0.3_1|0.5_4|1.12_0|1.13_0|1.15_0|1.1_0|1.7_2|1.8_0|4.0_0|4.11b_2|4.13_0|4.1_1|4.2_1|4.2_2|4.2_3|4.3_1|4.3a_0,423.91158275216236,237,24,6
30,0.3_1|0.3_3|0.5_1|0.5_3|0.5_4|1.0_0|1.11_1|1.11_2|1.13_0|1.14_0|1.6_0|1.9_0|4.0_0|4.11_0|4.11a_2|4.13_0|4.1_1|4.2_1|4.3_2|4.3a_0|4.4_0,381.5204244769461,33,33,6
31,0.2_0|0.3_1|0.3_2|0.5_2|0.5_4|0.6_1|1.0_0|1.11_1|1.11_2|1.12_0|1.13_0|1.14_0|1.15_0|1.1_0|1.7_2|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11b_1|4.11b_2|4.1_1|4.1_2|4.2_3|4.3_1,343.3683820292515,22,22,6
32,0.3_3|0.3_4|0.5_2|0.5_4|1.11_1|1.15_0|1.6_0|1.7_1|1.7_2|1.8_0|4.11b_1|4.1_1|4.1_2|4.2_2|4.2_3|4.3_1|4.3_2|4.4_0,309.03154382632636,130,130,6
33,0.2_0|0.3_1|0.3_2|0.3_4|0.5_2|0.6_1|1.0_0|1.11_1|1.11_2|1.15_0|1.1_0|1.9_0|4.11_0|4.11a_2|4.11b_2|4.1_1|4.1_2|4.2_1|4.2_2|4.2_3|4.3_2,278.1283894436937,77,77,6
34,0.1_2|0.3_2|0.3_4|0.4_0|0.5_2|0.5_4|0.6_1|1.0_0|1.11_1|1.13_0|1.7_1|1.7_2|1.8_0|1.9_0|4.11_0|4.11b_2|4.1_1|4.2_1|4.2_2|4.2_3|4.3_1,250.31555049932436,40,40,6
35,0.1_1|0.3_1|0.3_3|0.3_4|0.6_1|1.11_1|1.11_2|1.13_0|1.14_0|1.6_0|1.7_2|4.0_0|4.11a_2|4.1_1|4.2_1|4.3_1|4.3_2,225.28399544939197,169,169,6
36,0.1_1|0.3_4|0.5_1|0.5_2|1.11_1|1.11_2|1.12_0|1.14_0|1.6_0|1.7_1|1.9_0|4.11_0|4.11a_2|4.11a_3|4.11b_2|4.13_0|4.1_1|4.2_3|4.3_1,202.75559590445275,185,185,6
37,0.1_2|0.2_0|0.3_1|0.3_3|0.3_4|0.5_1|0.5_2|0.5_3|1.11_2|1.13_0|1.14_0|1.6_0|1.7_2|1.9_0|4.0_0|4.11a_3|4.1_1|4.1_2|4.2_2|4.2_3|4.3_1|4.3_2|4.3a_0,182.4800363140075,53,53,6
38,0.1_1|0.2_0|0.3_1|0.3_2|0.5_2|0.5_4|0.6_1|1.12_0|1.13_0|1.14_0|1.15_0|1.1_0|1.6_0|1.7_1|1.7_2|4.0_0|4.11a_1|4.11a_2|4.2_1|4.2_2|4.3_1,164.23203268260676,47,47,6
39,0.2_0|0.3_2|0.3_3|0.5_2|0.5_3|0.5_4|0.6_1|1.13_0|1.6_0|1.8_0|4.11a_1|4.11b_2|4.1_2|4.2_2|4.3_2|4.3a_0|4.4_0,147.80882941434606,18,18,6
40,0.1_2|0.2_0|0.3_2|0.3_3|0.4_0|0.5_2|0.5_3|0.5_4|0.6_1|1.11_1|1.11_2|1.12_0|1.14_0|1.15_0|1.6_0|1.7_1|1.9_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.1_2|4.2_1|4.2_2|4.2_3|4.3_1|4.3_2|4.3a_0,133.02794647291145,23,23,6
41,0.1_1|0.1_2|0.2_0|0.3_1|0.3_3|0.4_0|0.5_1|0.5_2|0.5_3|0.5_4|0.6_1|1.0_0|1.11_1|1.11_2|1.12_0|1.13_0|1.15_0|1.1_0|1.6_0|1.7_2|4.13_0|4.2_2|4.3_1|4.3a_0,119.72515182562033,8,8,6
42,0.1_1|0.1_2|0.4_0|0.6_1|1.0_0|1.13_0|1.14_0|1.7_2|1.8_0|4.0_0|4.11a_1|4.11b_2|4.13_0|4.1_2|4.2_2|4.2_3|4.3_2|4.3a_0|4.4_0,107.7526366430583,125,125,6
43,0.1_1|0.2_0|0.3_1|0.5_2|0.5_4|1.0_0|1.11_1|1.11_2|1.13_0|1.6_0|1.7_2|1.8_0|1.9_0|4.11_0|4.11a_1|4.11a_2|4.11b_1|4.13_0|4.1_1|4.2_2|4.2_3|4.3_2|4.3a_0,96.97737297875247,134,125,6
44,0.1_1|0.3_3|0.4_0|0.6_1|1.0_0|1.11_1|1.6_0|1.7_1|4.0_0|4.1_1|4.1_2|4.2_1|4.2_3|4.3a_0|4.4_0,87.27963568087723,76,76,6
45,0.1_1|0.1_2|0.2_0|0.3_2|0.3_3|0.3_4|0.5_3|0.5_4|1.0_0|1.11_2|1.12_0|1.1_0|1.7_1|1.7_2|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.13_0|4.1_2|4.2_2|4.2_3|4.3_1|4.3_2|4.3a_0,78.5516721127895,40,40,6
46,0.2_0|0.3_1|0.3_2|0.5_3|0.6_1|1.11_1|1.11_2|1.13_0|1.15_0|1.1_0|1.6_0|1.7_2|1.8_0|1.9_0|4.0_0|4.11a_1|4.11a_2|4.11a_3|4.11b_2|4.1_2|4.3_2|4.3a_0|4.4_0,70.69650490151055,80,80,6
47,0.1_2|0.3_2|0.3_3|0.3_4|0.5_1|0.5_3|0.5_4|1.12_0|1.8_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.11b_2|4.1_1|4.1_2|4.2_1|4.2_3|4.3_1|4.3a_0,63.626854411359496,100,100,6
48,0.1_2|0.2_0|0.3_2|0.3_4|0.4_0|0.5_1|0.6_1|1.11_1|1.11_2|1.12_0|1.14_0|1.15_0|1.1_0|1.7_2|1.8_0|4.11_0|4.11a_2|4.2_1|4.2_3|4.3_2|4.4_0,57.264168970223544,104,104,6
49,0.1_2|0.3_2|0.5_1|0.5_2|0.5_3|0.5_4|0.6_1|1.0_0|1.14_0|1.6_0|1.7_2|1.8_0|4.11a_1|4.11a_3|4.1_1|4.3_2|4.3a_0|4.4_0,51.5377520732012,12,12,6
50,0.1_2|0.3_1|0.3_2|0.5_3|0.6_1|1.11_1|1.12_0|1.1_0|1.6_0|1.7_1|1.8_0|4.11a_1|4.11a_2|4.11b_2|4.1_1|4.2_2|4.3_2|4.4_0,46.38397686588108,147,12,6
51,0.4_0|0.5_3|0.5_4|0.6_1|1.11_2|1.15_0|1.1_0|4.0_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.2_2|4.2_3|4.3a_0,41.745579179292974,47,47,6
52,0.1_1|0.1_2|0.2_0|0.3_2|0.5_1|0.5_2|0.5_4|0.6_1|1.11_1|1.11_2|1.13_0|1.7_1|1.7_2|1.9_0|4.11b_1|4.11b_2|4.13_0|4.1_1|4.1_2|4.2_2|4.2_3,37.571021261363676,24,24,6
53,0.1_2|0.2_0|0.3_3|0.3_4|0.5_1|0.5_2|0.5_4|0.6_1|1.11_1|1.11_2|1.13_0|1.14_0|1.15_0|1.1_0|1.8_0|1.9_0|4.1_2|4.2_1|4.2_3|4.3a_0|4.4_0,33.81391913522731,11,11,6
54,0.1_1|0.1_2|0.2_0|0.3_2|0.3_3|0.4_0|0.5_1|0.5_3|0.5_4|1.0_0|1.12_0|1.13_0|1.14_0|1.1_0|1.7_1|1.7_2|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11b_2|4.13_0|4.1_2|4.2_1|4.2_2|4.3_1|4.3a_0|4.4_0,30.43252722170458,21,11,6
55,0.1_2|0.3_1|0.4_0|1.0_0|1.11_1|1.7_1|1.7_2|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.11b_2|4.2_2|4.2_3,27.38927449953412,525,11,6
56,0.1_1|0.1_2|0.3_2|0.5_2|0.6_1|1.0_0|1.11_2|1.12_0|1.1_0|1.6_0|1.7_1|1.7_2|1.8_0|4.0_0|4.11_0|4.11a_2|4.13_0|4.2_1|4.2_3|4.3_2|4.3a_0|4.4_0,24.650347049580713,27,27,6
57,0.3_2|0.3_4|0.4_0|0.5_3|1.11_1|1.11_2|1.13_0|1.1_0|1.6_0|1.7_1|1.7_2|1.8_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.13_0|4.1_1|4.1_2|4.3_1|4.4_0,22.18531234462264,248,27,6
58,0.1_1|0.1_2|0.3_2|0.4_0|0.5_1|1.11_1|1.13_0|1.14_0|1.1_0|1.6_0|1.7_2|4.11a_1|4.1_2|4.3_1,19.966781110160376,446,27,6
59,0.1_2|0.3_1|0.3_2|0.3_3|0.3_4|0.4_0|0.5_2|0.5_3|0.5_4|1.11_1|1.13_0|1.14_0|1.15_0|1.1_0|1.7_2|1.9_0|4.0_0|4.11_0|4.11b_1|4.1_2|4.2_2|4.3_2|4.4_0,17.970102999144338,30,30,6
60,0.1_2|0.2_0|0.3_1|0.3_4|0.4_0|0.5_1|0.5_2|0.5_4|0.6_1|1.0_0|1.11_1|1.13_0|1.6_0|1.7_1|1.7_2|4.0_0|4.11a_1|4.11a_2|4.11b_2|4.13_0|4.1_1|4.1_2|4.2_3|4.3_1|4.3a_0,16.173092699229905,11,11,6
61,0.1_1|0.1_2|0.3_2|0.4_0|0.5_1|0.5_2|0.5_3|0.5_4|0.6_1|1.0_0|1.11_1|1.11_2|1.7_1|4.0_0|4.11_0|4.11a_1|4.11b_1|4.11b_2|4.13_0|4.1_1|4.3_1|4.3_2|4.4_0,14.555783429306915,6,6,6
62,0.1_1|0.1_2|0.2_0|0.3_2|0.4_0|0.5_2|0.6_1|1.0_0|1.11_2|1.13_0|1.6_0|1.8_0|1.9_0|4.11_0|4.11b_1|4.11b_2|4.13_0|4.2_2|4.3_1|4.3_2|4.4_0,13.100205086376222,53,6,6
63,0.1_1|0.3_2|0.3_4|0.4_0|0.5_1|0.5_3|0.6_1|1.0_0|1.12_0|1.6_0|1.7_2|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11a_3|4.11b_2|4.1_1|4.2_1|4.2_3|4.4_0,11.790184577738602,36,6,6
64,0.1_2|0.2_0|0.3_1|0.3_2|0.3_3|0.4_0|0.5_1|0.5_4|1.13_0|1.1_0|1.6_0|1.7_1|1.7_2|1.9_0|4.11a_2|4.11b_1|4.11b_2|4.2_2|4.3_1|4.3_2|4.3a_0|4.4_0,10.611166119964741,57,6,6
65,0.1_1|0.1_2|0.3_2|0.3_4|0.4_0|0.5_1|0.5_2|0.5_3|0.5_4|0.6_1|1.13_0|1.14_0|1.1_0|1.9_0|4.0_0|4.11a_2|4.11b_1|4.11b_2|4.1_2|4.2_1|4.2_2|4.3_1|4.3a_0|4.4_0,9.550049507968268,5,5,5
66,0.1_1|0.1_2|0.3_1|0.3_3|0.5_2|0.5_4|1.15_0|1.1_0|1.7_1|1.7_2|1.8_0|4.0_0|4.11a_3|4.11b_1|4.13_0|4.1_1|4.2_1|4.2_2|4.2_3|4.3_1|4.3a_0,8.595044557171441,62,5,5
67,0.1_1|0.3_1|0.3_2|0.3_3|0.5_3|0.5_4|0.6_1|1.0_0|1.11_2|1.13_0|1.15_0|1.6_0|1.7_1|1.8_0|4.0_0|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_2|4.2_1|4.2_2|4.2_3,7.735540101454297,16,5,5
68,0.3_1|0.3_3|0.5_3|0.6_1|1.0_0|1.11_1|1.11_2|1.12_0|1.13_0|1.15_0|1.7_2|1.8_0|4.11a_3|4.13_0|4.1_2|4.3a_0|4.4_0,6.961986091308868,42,5,5
69,0.1_1|0.1_2|0.2_0|0.3_1|0.3_2|0.3_3|0.3_4|0.4_0|0.5_1|0.5_2|0.6_1|1.0_0|1.11_1|1.11_2|1.12_0|1.13_0|1.6_0|1.7_1|1.7_2|1.8_0|1.9_0|4.0_0|4.11a_3|4.1_1|4.1_2|4.2_2|4.2_3|4.3_2,6.265787482177981,16,5,5
70,0.1_1|0.3_1|0.5_3|0.5_4|0.6_1|1.0_0|1.13_0|1.15_0|1.1_0|1.7_1|1.7_2|1.9_0|4.0_0|4.11_0|4.11a_3|4.11b_2|4.13_0|4.1_1|4.1_2,5.639208733960183,33,5,5
71,0.1_1|0.1_2|0.3_1|0.3_2|0.3_3|0.5_1|1.0_0|1.12_0|1.13_0|1.14_0|1.15_0|1.8_0|1.9_0|4.11a_3|4.11b_2|4.13_0|4.1_1|4.1_2|4.2_1|4.2_2|4.3_2,5.075287860564165,152,5,5
72,0.2_0|0.3_3|0.3_4|0.5_1|0.5_4|1.12_0|1.14_0|1.15_0|1.1_0|1.6_0|1.7_1|1.7_2|4.11b_2|4.13_0|4.1_1|4.1_2|4.2_2|4.2_3|4.4_0,4.567759074507749,72,5,5
73,0.3_3|0.3_4|0.4_0|0.5_3|0.5_4|0.6_1|1.0_0|1.11_1|1.12_0|1.13_0|1.1_0|1.7_2|1.9_0|4.0_0|4.11b_1|4.13_0|4.2_1|4.2_3|4.3_1|4.3_2,4.110983167056974,13,5,5
74,0.1_1|0.4_0|0.5_2|0.5_3|0.6_1|1.12_0|1.13_0|1.14_0|1.15_0|1.6_0|4.1_1|4.1_2|4.3_1|4.3_2|4.4_0,3.6998848503512765,53,5,5
75,0.2_0|0.3_2|0.3_3|0.5_1|0.5_2|0.5_3|1.11_2|1.15_0|1.6_0|1.7_2|1.8_0|4.11a_1|4.11a_2|4.11b_2|4.13_0|4.2_2|4.2_3|4.3_1,3.329896365316149,82,5,5
76,0.1_1|0.1_2|0.2_0|0.3_3|0.5_1|0.5_3|0.5_4|1.0_0|1.11_2|1.15_0|1.6_0|1.7_2|1.8_0|1.9_0|4.11_0|4.1_2|4.2_3|4.3_1|4.3_2,2.996906728784534,59,5,5
77,0.2_0|0.3_1|0.3_2|0.3_3|0.5_3|1.14_0|1.7_1|1.7_2|4.11a_1|4.11a_2|4.11a_3|4.11b_2|4.1_1|4.2_1|4.2_2|4.3_1|4.4_0,2.697216055906081,230,5,5
78,0.1_2|0.2_0|0.3_1|0.3_2|0.3_3|0.3_4|0.5_1|0.5_2|1.0_0|1.11_2|1.14_0|1.15_0|1.1_0|1.6_0|1.7_1|1.7_2|4.11_0|4.11a_1|4.11a_3|4.11b_1|4.13_0|4.3_1|4.3_2|4.4_0,2.4274944503154727,27,5,5
79,0.1_2|0.2_0|0.3_1|0.3_2|0.3_3|0.5_1|0.5_2|0.5_3|0.5_4|1.11_1|1.14_0|1.6_0|1.8_0|4.11a_2|4.11a_3|4.11b_2|4.1_1|4.1_2|4.2_1|4.2_2|4.2_3|4.3_1|4.3a_0|4.4_0,2.1847450052839257,40,5,5
80,0.1_1|0.3_1|0.3_3|0.3_4|0.5_3|0.6_1|1.0_0|1.12_0|1.13_0|1.14_0|1.15_0|1.1_0|1.6_0|1.7_1|1.7_2|1.8_0|4.0_0|4.11a_1|4.11b_1|4.11b_2|4.13_0|4.2_1|4.2_2|4.2_3|4.3_2|4.4_0,1.966270504755533,11,5,5
81,0.1_2|0.2_0|0.3_2|0.3_4|0.4_0|0.5_1|0.5_2|0.5_3|0.5_4|0.6_1|1.0_0|1.11_1|1.12_0|1.13_0|1.15_0|1.1_0|1.7_2|4.11b_1|4.13_0|4.1_2|4.2_3|4.3_2|4.3a_0,1.7696434542799797,7,5,5
82,0.1_1|0.3_1|0.4_0|0.5_4|1.0_0|1.11_1|1.12_0|1.14_0|1.1_0|1.8_0|4.0_0|4.11_0|4.11a_3|4.11b_1|4.11b_2|4.1_1|4.2_1|4.2_3|4.3_1|4.4_0,1.5926791088519818,106,5,5
83,0.1_1|0.1_2|0.2_0|0.3_1|0.3_2|0.3_3|0.3_4|0.4_0|0.5_2|0.5_3|0.5_4|0.6_1|1.0_0|1.11_1|1.12_0|1.13_0|4.11a_1|4.13_0|4.1_1|4.1_2|4.2_1|4.2_2,1.4334111979667836,14,5,5
84,0.1_1|0.3_1|0.3_2|0.4_0|0.5_1|0.5_2|0.5_4|1.11_2|1.13_0|1.14_0|1.1_0|1.8_0|1.9_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.2_1|4.3_1|4.3_2|4.4_0,1.2900700781701053,30,5,5
85,0.2_0|0.5_1|0.5_2|0.5_3|0.6_1|1.14_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_3|4.13_0|4.1_2|4.2_2|4.2_3|4.3_2|4.4_0,1.1610630703530949,22,5,5
86,0.1_1|0.1_2|0.3_2|1.0_0|1.11_1|1.11_2|1.13_0|1.15_0|1.1_0|1.7_1|1.7_2|1.8_0|1.9_0|4.0_0|4.11_0|4.11b_2|4.13_0|4.1_1|4.1_2|4.2_2|4.3_1|4.3a_0|4.4_0,1.0449567633177854,221,5,5
87,0.1_1|0.1_2|0.2_0|0.3_1|0.3_2|0.3_3|0.4_0|0.6_1|1.11_1|1.14_0|1.1_0|1.9_0|4.11_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.1_2|4.3_1|4.3a_0|4.4_0,1,95,5,5
