Step,Config,Temperature,Candidate_Value,Accepted_Value,Best_Value
0,0.1_2|0.3_1|0.3_2|0.4_0|0.5_1|0.6_1|1.11_1|1.13_0|1.6_0|1.7_2|1.8_0|1.9_0|4.0_0|4.11a_1|4.11a_3|4.11b_1|4.11b_2|4.1_2|4.2_1|4.3_2|4.3a_0,5263.1578947368425,126,126,126
1,0.1_1|0.1_2|0.3_3|0.5_1|0.5_2|0.5_3|0.5_4|1.11_2|1.12_0|1.13_0|1.15_0|1.1_0|1.7_1|1.7_2|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.13_0|4.1_2|4.4_0,2173.913043478261,12,12,12
2,0.1_1|0.1_2|0.2_0|0.3_1|0.3_2|0.3_3|0.3_4|0.4_0|0.5_1|0.5_2|1.11_1|1.12_0|1.14_0|1.1_0|1.7_1|1.7_2|1.8_0|1.9_0|4.0_0|4.11a_3|4.1_1|4.2_3|4.3_2|4.4_0,1098.901098901099,34,34,12
3,0.1_2|0.3_1|0.3_2|0.3_3|0.3_4|0.4_0|0.5_3|0.6_1|1.11_2|1.15_0|1.7_1|1.7_2|1.9_0|4.0_0|4.11a_2|4.11b_1|4.1_1|4.3_2|4.3a_0|4.4_0,649.3506493506493,28,28,12
4,0.2_0|0.5_2|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.7_1|1.9_0|4.0_0|4.11_0|4.11a_2|4.11a_3|4.11b_1|4.13_0|4.1_1|4.1_2|4.2_1|4.2_2|4.2_3|4.3_1|4.4_0,425.531914893617,61,61,12
5,0.1_1|0.2_0|0.3_1|0.3_3|0.4_0|0.5_2|0.5_3|1.11_1|1.13_0|1.1_0|1.7_1|1.8_0|4.11a_2|4.11a_3|4.11b_1|4.1_1|4.3_1|4.3_2|4.3a_0|4.4_0,299.4011976047904,51,51,12
6,0.1_1|0.3_2|0.3_3|0.3_4|0.5_1|0.5_3|1.0_0|1.11_1|1.12_0|1.15_0|1.7_2|1.8_0|1.9_0|4.0_0|4.11b_1|4.11b_2|4.2_1|4.2_2|4.3a_0|4.4_0,221.72949002217294,48,48,12
7,0.1_2|0.2_0|0.3_1|0.3_2|0.3_3|0.3_4|0.5_2|0.5_3|0.5_4|1.0_0|1.11_2|1.15_0|1.1_0|1.6_0|1.7_1|1.9_0|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_2|4.2_1|4.2_3|4.3_1|4.3_2|4.4_0,170.64846416382252,22,22,12
8,0.1_2|0.2_0|0.3_4|0.4_0|0.5_4|0.6_1|1.11_1|1.12_0|1.15_0|1.1_0|1.6_0|1.8_0|4.0_0|4.11a_1|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_1|4.2_1|4.3_1|4.3a_0,135.31799729364005,75,75,12
9,0.1_1|0.3_1|0.3_2|0.3_3|0.3_4|0.4_0|0.5_1|0.5_2|1.11_1|1.12_0|1.13_0|1.14_0|1.1_0|1.6_0|1.7_2|1.8_0|1.9_0|4.0_0|4.11a_1|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_1|4.3_1|4.4_0,109.89010989010988,29,29,12
10,0.1_1|0.3_1|0.3_2|0.3_3|0.5_1|0.5_3|0.6_1|1.12_0|1.13_0|1.14_0|1.15_0|1.6_0|1.7_2|1.8_0|4.11_0|4.11a_1|4.11a_2|4.11a_3|4.13_0|4.1_1|4.1_2|4.2_3|4.3_1|4.3_2|4.3a_0|4.4_0,90.99181073703366,34,34,12
11,0.1_2|0.3_2|0.5_1|1.0_0|1.11_1|1.11_2|1.12_0|1.14_0|1.15_0|1.1_0|1.6_0|1.7_1|1.7_2|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_2|4.11a_3|4.13_0|4.1_1|4.1_2|4.2_1|4.3_1|4.3_2|4.3a_0,76.5696784073507,157,157,12
