Step,Config,Temperature,Candidate_Value,Accepted_Value,Best_Value
0,0.3_2|0.3_4|0.5_1|0.5_3|0.5_4|1.11_1|1.12_0|1.13_0|1.14_0|1.1_0|1.7_1|1.8_0|4.0_0|4.11a_2|4.11b_2|4.2_1|4.2_2|4.2_3|4.3_1|4.3_2,9900.0,108,108,108
1,0.1_2|0.3_3|0.3_4|0.4_0|0.6_1|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.7_1|1.8_0|4.11_0|4.11a_1|4.11b_1|4.1_1|4.1_2|4.3_1,9801.0,119,119,108
2,0.1_1|0.2_0|0.3_2|0.5_1|0.5_3|1.0_0|1.11_2|1.13_0|1.15_0|1.1_0|1.6_0|1.7_1|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11a_3|4.11b_2|4.13_0|4.1_1|4.1_2|4.2_2|4.2_3|4.4_0,9702.99,78,78,78
3,0.1_1|0.2_0|0.3_2|0.3_3|0.3_4|0.4_0|0.5_3|0.5_4|0.6_1|1.0_0|1.11_1|1.13_0|1.14_0|1.1_0|1.6_0|4.0_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_1|4.1_2|4.2_2|4.3_1|4.3_2|4.3a_0,9605.9601,10,10,10
4,0.1_1|0.1_2|0.3_2|0.3_3|0.5_1|0.5_2|0.5_4|0.6_1|1.0_0|1.11_2|1.12_0|1.14_0|1.1_0|1.6_0|1.9_0|4.0_0|4.11_0|4.11a_2|4.11a_3|4.11b_1|4.3_1|4.3_2|4.3a_0,9509.900499,5,5,5
5,0.1_1|0.2_0|0.3_1|0.3_4|0.5_4|1.11_1|1.13_0|1.6_0|1.9_0|4.0_0|4.11a_2|4.11b_1|4.13_0|4.1_1|4.2_1|4.2_2|4.2_3|4.3_1|4.4_0,9414.80149401,217,217,5
6,0.2_0|0.3_4|0.4_0|0.5_2|0.5_3|0.6_1|1.0_0|1.11_2|1.12_0|1.14_0|1.1_0|1.6_0|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11b_2|4.1_1|4.1_2|4.2_2|4.2_3|4.3_1|4.4_0,9320.653479069899,8,8,5
7,0.3_3|0.4_0|0.5_3|1.0_0|1.14_0|1.7_1|4.1_1|4.2_1|4.2_2|4.3_1|4.3a_0|4.4_0,9227.446944279201,140,140,5
8,0.3_2|0.5_2|1.0_0|1.11_1|1.11_2|1.13_0|1.14_0|1.1_0|1.7_2|1.9_0|4.0_0|4.11_0|4.11b_1|4.13_0|4.2_1|4.2_2|4.2_3|4.3_1|4.3_2|4.3a_0,9135.172474836409,144,144,5
9,0.1_1|0.2_0|0.3_1|0.5_1|0.5_3|0.5_4|1.0_0|1.11_1|1.13_0|1.14_0|1.15_0|1.1_0|1.6_0|1.7_1|4.11_0|4.11a_1|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_2|4.2_1|4.2_2|4.2_3|4.3_1|4.3a_0|4.4_0,9043.820750088043,53,53,5
10,0.1_2|0.2_0|0.3_2|0.3_4|0.5_1|0.5_4|0.6_1|1.11_1|1.11_2|1.12_0|1.6_0|1.8_0|4.11a_1|4.11a_2|4.11b_1|4.11b_2|4.1_2|4.2_1|4.2_2|4.3_2|4.3a_0|4.4_0,8953.382542587164,58,58,5
11,0.1_2|0.2_0|0.3_2|0.3_3|0.3_4|0.5_2|0.5_3|0.5_4|0.6_1|1.11_2|1.6_0|1.7_1|1.7_2|1.8_0|4.0_0|4.11_0|4.11a_2|4.11b_1|4.13_0|4.1_1|4.2_1|4.3_1|4.3a_0|4.4_0,8863.848717161292,8,8,5
12,0.1_2|0.2_0|0.3_1|0.3_3|0.3_4|0.5_2|0.5_4|1.11_2|1.12_0|1.13_0|1.1_0|1.6_0|1.7_1|1.7_2|1.9_0|4.0_0|4.11a_1|4.11a_2|4.11b_1|4.11b_2|4.13_0|4.1_2|4.2_1|4.2_2|4.3_1|4.3a_0,8775.210229989678,64,64,5
13,0.3_1|0.3_2|0.5_2|1.11_2|1.12_0|1.13_0|1.14_0|1.15_0|1.1_0|1.7_2|1.8_0|4.0_0|4.11a_3|4.11b_1|4.1_2|4.2_1|4.2_2|4.2_3|4.4_0,8687.458127689782,281,281,5
14,0.1_1|0.1_2|0.3_1|0.3_3|0.3_4|0.4_0|0.5_1|0.5_4|1.12_0|1.15_0|4.11a_2|4.11b_2|4.1_1|4.2_2|4.3_1|4.3_2|4.4_0,8600.583546412885,85,85,5
15,0.3_1|0.3_4|0.5_1|0.5_2|1.11_1|1.11_2|1.12_0|1.14_0|1.15_0|1.1_0|1.7_1|1.8_0|4.11a_1|4.11a_2|4.11a_3|4.1_2|4.2_2|4.2_3|4.3a_0|4.4_0,8514.577710948755,171,171,5
16,0.2_0|0.3_4|0.4_0|0.5_1|0.5_2|0.5_3|1.12_0|1.15_0|1.6_0|1.7_1|1.7_2|1.8_0|4.0_0|4.11a_2|4.11b_1|4.13_0|4.3_1|4.3_2,8429.431933839267,103,103,5
