Step,Config,Temperature,Candidate_Value,Accepted_Value,Best_Value
0,0.2_0|0.3_2|0.5_1|0.5_4|1.11_1|1.11_2|1.13_0|1.14_0|1.15_0|1.7_1|1.8_0|1.9_0|4.0_0|4.11a_1|4.11b_1|4.11b_2|4.13_0|4.1_2|4.2_1|4.2_2|4.2_3|4.3_1|4.4_0,10000.0,132,132,132
1,0.1_1|0.2_0|0.3_1|0.3_3|0.3_4|0.5_3|1.0_0|1.11_1|1.12_0|1.13_0|1.14_0|1.15_0|1.1_0|1.7_1|1.8_0|1.9_0|4.0_0|4.11a_2|4.11b_2|4.1_2|4.3_1|4.3_2|4.3a_0,9999.01,87,87,87
2,0.1_1|0.3_3|0.5_1|0.5_2|0.5_4|0.6_1|1.0_0|1.11_1|1.15_0|1.1_0|1.7_1|1.7_2|1.8_0|1.9_0|4.11_0|4.11a_3|4.11b_1|4.13_0|4.1_2|4.3_2|4.3a_0|4.4_0,9996.04,5,5,5
3,0.3_1|0.3_3|0.4_0|0.6_1|1.0_0|1.12_0|1.13_0|1.15_0|1.1_0|4.0_0|4.11_0|4.11a_1|4.13_0|4.1_1|4.1_2|4.2_1|4.2_2|4.2_3|4.3_2,9991.09,59,59,5
4,0.1_2|0.4_0|0.5_1|0.5_2|0.5_3|0.5_4|0.6_1|1.11_2|1.14_0|1.15_0|1.6_0|1.7_1|1.8_0|4.0_0|4.11_0|4.11a_1|4.11a_3|4.1_1|4.2_1|4.2_2,9984.16,25,25,5
5,0.1_1|0.1_2|0.3_1|0.3_2|0.3_4|0.4_0|0.5_2|0.5_3|0.6_1|1.11_1|1.12_0|1.14_0|1.15_0|1.6_0|1.8_0|4.0_0|4.11a_1|4.11a_3|4.11b_1|4.13_0|4.1_1|4.1_2|4.2_2|4.3_1|4.3_2,9975.25,26,26,5
6,0.1_1|0.2_0|0.3_4|0.5_1|0.5_3|0.5_4|0.6_1|1.0_0|1.11_1|1.12_0|1.13_0|1.15_0|1.1_0|1.6_0|1.7_2|1.8_0|1.9_0|4.0_0|4.11a_1|4.11a_2|4.11b_1|4.13_0|4.1_2|4.2_2|4.4_0,9964.36,10,10,5
7,0.2_0|0.3_3|0.3_4|0.4_0|0.5_2|0.5_3|0.5_4|0.6_1|1.0_0|1.11_1|1.12_0|1.13_0|1.14_0|1.1_0|1.9_0|4.11a_1|4.11a_2|4.11b_1|4.1_1|4.1_2|4.2_3|4.3_2|4.3a_0,9951.49,12,12,5
8,0.3_4|0.4_0|0.5_2|0.6_1|1.12_0|1.13_0|1.14_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11a_3|4.11b_1|4.1_1|4.2_1|4.2_3,9936.64,184,184,5
9,0.1_2|0.3_3|0.5_1|0.5_4|0.6_1|1.0_0|1.11_2|1.12_0|1.14_0|1.1_0|1.8_0|1.9_0|4.0_0|4.11b_1|4.11b_2|4.1_1|4.1_2|4.2_1|4.2_2|4.3a_0|4.4_0,9919.81,7,7,5
10,0.1_1|0.1_2|0.4_0|0.5_2|0.5_3|0.5_4|1.11_2|1.13_0|1.6_0|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_1|4.2_1|4.2_2|4.2_3|4.3_2|4.4_0,9901.0,56,56,5
11,0.1_1|0.1_2|0.4_0|0.5_1|0.5_3|0.6_1|1.12_0|1.14_0|1.15_0|1.1_0|1.6_0|1.7_1|4.0_0|4.11_0|4.11a_1|4.11a_3|4.11b_1|4.1_1|4.2_3|4.3_1|4.3_2|4.3a_0,9880.21,36,36,5
12,0.1_1|0.1_2|0.3_1|0.3_2|0.3_3|0.4_0|1.0_0|1.11_1|1.11_2|1.6_0|1.7_2|1.8_0|1.9_0|4.11a_1|4.13_0|4.2_1|4.2_3|4.3_2,9857.44,331,331,5
13,0.1_1|0.2_0|0.3_1|0.3_3|0.3_4|0.5_2|0.5_4|1.11_2|1.13_0|1.8_0|1.9_0|4.11_0|4.11a_1|4.11a_3|4.11b_1|4.13_0|4.1_2|4.2_3|4.3_1|4.3a_0|4.4_0,9832.69,100,100,5
14,0.1_1|0.1_2|0.2_0|0.3_1|0.5_1|0.5_3|0.6_1|1.11_1|1.11_2|1.12_0|1.13_0|1.14_0|1.15_0|1.1_0|1.7_1|1.7_2|4.11_0|4.11a_1|4.11b_1|4.11b_2|4.13_0|4.1_2|4.2_1|4.3_1|4.3_2|4.3a_0|4.4_0,9805.96,47,47,5
15,0.1_1|0.1_2|0.3_4|0.4_0|0.5_2|0.5_3|0.6_1|1.0_0|1.11_1|1.13_0|1.14_0|1.7_1|1.8_0|1.9_0|4.11a_3|4.13_0|4.1_1|4.1_2|4.2_1,9777.25,64,64,5
16,0.3_1|0.3_2|0.3_4|0.5_1|0.5_4|0.6_1|4.0_0|4.11a_1|4.2_1|4.2_3|4.3_2|4.4_0,9746.56,52,52,5
17,0.1_2|0.2_0|0.3_1|0.3_2|0.3_4|0.4_0|0.5_2|0.5_3|0.5_4|0.6_1|1.0_0|1.11_1|1.12_0|1.13_0|1.14_0|1.15_0|1.1_0|1.6_0|1.7_2|1.8_0|1.9_0|4.0_0|4.11a_2|4.13_0|4.2_1|4.3_1|4.3_2,9713.89,16,16,5
18,0.1_2|0.2_0|0.3_2|0.3_4|0.5_1|0.5_3|1.11_2|1.12_0|1.13_0|1.15_0|1.1_0|1.6_0|1.7_1|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_2|4.11a_3|4.11b_1|4.11b_2|4.1_2|4.2_2|4.3a_0|4.4_0,9679.24,133,133,5
19,0.1_1|0.1_2|0.3_3|0.3_4|0.4_0|0.6_1|1.0_0|1.11_2|1.12_0|1.14_0|1.1_0|1.6_0|1.7_2|1.8_0|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.13_0|4.2_1|4.2_2|4.2_3|4.3_2|4.4_0,9642.61,24,24,5
20,0.2_0|0.3_1|0.3_3|0.3_4|0.4_0|0.5_1|0.5_3|0.6_1|1.0_0|1.12_0|1.13_0|1.14_0|1.15_0|1.1_0|1.6_0|1.7_2|4.11_0|4.11a_2|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_1|4.1_2|4.2_1|4.3_1|4.3_2,9604.0,15,15,5
21,0.1_2|0.3_3|0.5_1|0.5_3|0.5_4|0.6_1|1.11_1|1.12_0|1.15_0|1.7_2|1.8_0|1.9_0|4.11_0|4.1_1|4.2_1|4.2_3|4.3_1|4.3_2|4.3a_0|4.4_0,9563.41,20,20,5
22,0.1_1|0.1_2|0.3_1|0.3_4|0.4_0|0.5_2|0.5_3|0.5_4|0.6_1|1.11_1|1.15_0|4.0_0|4.11a_2|4.11a_3|4.1_2|4.2_1|4.2_2|4.3_1|4.3a_0,9520.84,30,30,5
23,0.1_1|0.1_2|0.3_1|0.3_2|0.3_3|0.3_4|0.4_0|0.5_4|1.11_1|1.13_0|1.7_1|4.11_0|4.11b_1|4.11b_2|4.1_2|4.2_2|4.4_0,9476.29,177,177,5
24,0.1_1|0.1_2|0.3_3|0.4_0|0.5_3|0.5_4|0.6_1|1.0_0|1.14_0|1.7_2|1.9_0|4.0_0|4.11a_1|4.11a_2|4.11b_1|4.13_0|4.2_2|4.3_2,9429.76,16,16,5
25,0.1_1|0.5_1|0.5_4|0.6_1|1.0_0|1.11_1|1.12_0|1.7_1|4.11_0|4.11a_2|4.1_2|4.2_1|4.2_3|4.3_1,9381.25,29,29,5
26,0.3_1|0.3_2|0.5_2|1.0_0|1.11_1|1.11_2|1.12_0|1.13_0|1.14_0|1.6_0|1.7_1|1.7_2|1.9_0|4.0_0|4.11b_2|4.1_1|4.1_2|4.2_2|4.3_1|4.3_2,9330.76,347,347,5
27,0.1_1|0.1_2|0.2_0|0.3_1|0.3_4|0.4_0|0.5_3|0.5_4|1.0_0|1.11_1|1.11_2|1.13_0|1.14_0|1.1_0|4.11_0|4.11a_2|4.1_2|4.3_1|4.4_0,9278.29,98,98,5
28,0.1_2|0.3_2|0.3_4|0.4_0|0.5_1|0.5_2|0.5_4|0.6_1|1.0_0|1.11_1|1.11_2|1.6_0|1.9_0|4.0_0|4.11_0|4.11b_1|4.1_2|4.2_1|4.2_3|4.3_1|4.3a_0,9223.84,8,8,5
29,0.1_1|0.3_2|0.3_3|0.3_4|0.5_2|0.6_1|1.0_0|1.11_1|1.12_0|1.13_0|1.14_0|1.15_0|1.6_0|1.7_1|1.7_2|4.11a_2|4.11a_3|4.1_1|4.3_1|4.3a_0,9167.41,66,66,5
30,0.1_1|0.1_2|0.2_0|0.3_1|0.3_2|0.3_3|0.5_1|0.5_3|0.5_4|1.0_0|1.12_0|1.14_0|1.15_0|1.6_0|1.7_1|1.9_0|4.0_0|4.11a_2|4.11b_1|4.11b_2|4.13_0|4.2_2|4.3_2|4.3a_0,9109.0,36,36,5
31,0.1_2|0.2_0|0.3_1|0.3_3|0.3_4|0.4_0|0.5_2|1.11_2|1.13_0|1.14_0|1.1_0|1.7_2|1.8_0|1.9_0|4.11_0|4.11a_1|4.11a_2|4.11a_3|4.11b_2|4.1_1|4.1_2|4.2_1|4.3a_0|4.4_0,9048.61,144,144,5
