2022-05-24 06:41:36,588 - INFO - ***********************************************************
2022-05-24 06:41:36,589 - INFO - *** MCMC Helper                                         ***
2022-05-24 06:41:36,589 - INFO - *** Algoritmos de Monte Carlo e Cadeias de Markov 2022/1***
2022-05-24 06:41:36,589 - INFO - *** Aluno: Victor de Almeida Xavier                     ***
2022-05-24 06:41:36,589 - INFO - ***********************************************************
2022-05-24 06:41:36,589 - INFO - *** Terceira Lista de Exercícios                        ***
2022-05-24 06:41:36,589 - INFO - ***********************************************************
2022-05-24 06:41:36,589 - INFO - [INIT]Module:Experiment
2022-05-24 06:41:36,590 - INFO - Experimentos da Questão 4
2022-05-24 06:42:07,365 - INFO - Item:pi_t
2022-05-24 06:42:07,365 - INFO - Probabilidade (p):0.35
2022-05-24 06:42:07,365 - INFO - Número de passos:100
2022-05-24 06:42:07,366 - INFO - Número de execuções:10000
2022-05-24 06:42:07,366 - INFO - Plotar resultados? True
2022-05-24 06:42:07,367 - INFO - [[1, 1]]get_latice2D_transition:[2, 1]
2022-05-24 06:42:07,367 - INFO - [[2, 1]]get_latice2D_transition:[3, 1]
2022-05-24 06:42:07,367 - INFO - [[3, 1]]get_latice2D_transition:[4, 1]
2022-05-24 06:42:07,368 - INFO - [[4, 1]]get_latice2D_transition:[4, 1]
2022-05-24 06:42:07,368 - INFO - [[4, 1]]get_latice2D_transition:[4, 1]
2022-05-24 06:42:07,368 - INFO - [[4, 1]]get_latice2D_transition:[4, 1]
2022-05-24 06:42:07,368 - INFO - [[4, 1]]get_latice2D_transition:[3, 1]
2022-05-24 06:42:07,369 - INFO - [[3, 1]]get_latice2D_transition:[2, 1]
2022-05-24 06:42:07,369 - INFO - [[2, 1]]get_latice2D_transition:[2, 1]
2022-05-24 06:42:07,369 - INFO - [[2, 1]]get_latice2D_transition:[2, 1]
2022-05-24 06:42:07,369 - INFO - [[2, 1]]get_latice2D_transition:[3, 1]
2022-05-24 06:42:07,369 - INFO - [[3, 1]]get_latice2D_transition:[2, 1]
2022-05-24 06:42:07,370 - INFO - [[2, 1]]get_latice2D_transition:[1, 1]
