Step,Config,Temperature,Candidate_Value,Accepted_Value,Best_Value
22,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,886.2938119652507,179,179,179
23,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,797.6644307687255,179,179,179
24,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,717.897987691853,179,179,179
25,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,646.1081889226678,179,179,179
26,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,581.4973700304009,179,179,179
27,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,523.3476330273609,179,179,179
28,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,471.01286972462486,179,179,179
29,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,423.91158275216236,179,179,179
30,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,381.5204244769461,179,179,179
31,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,343.3683820292515,179,179,179
32,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,309.03154382632636,179,179,179
