Step,Config,Temperature,Candidate_Value,Accepted_Value,Best_Value
0,0.1_1|0.2_0|0.3_2|0.3_3|0.4_0|0.5_3|0.5_4|1.0_0|1.12_0|1.15_0|1.6_0|1.7_1|1.9_0|4.11a_3|4.11b_2|4.1_1|4.3_1|4.3a_0,10000.0,98,98,98
1,0.1_1|0.3_2|0.3_3|0.3_4|0.4_0|0.5_3|1.11_2|1.12_0|1.13_0|1.14_0|1.1_0|1.7_1|1.9_0|4.0_0|4.11_0|4.11a_2|4.11b_1|4.11b_2|4.1_2|4.3_1|4.3_2|4.4_0,9999.01,67,67,67
2,0.1_1|0.1_2|0.3_1|0.3_2|0.4_0|0.5_1|0.5_3|0.6_1|1.11_1|1.11_2|1.12_0|1.1_0|1.6_0|1.7_1|1.8_0|1.9_0|4.11a_2|4.11a_3|4.13_0|4.1_1|4.2_2|4.3_1|4.3a_0|4.4_0,9996.04,54,54,54
3,0.2_0|0.3_1|0.3_3|0.4_0|0.6_1|1.0_0|1.11_1|1.11_2|1.12_0|1.14_0|1.1_0|1.7_2|4.11_0|4.11a_1|4.11a_2|4.11b_1|4.1_1|4.2_1|4.2_3|4.3_1|4.3_2|4.4_0,9991.09,58,58,54
4,0.1_1|0.2_0|0.3_2|0.3_4|0.4_0|0.5_2|0.5_3|0.5_4|1.0_0|1.11_1|1.12_0|1.13_0|1.14_0|1.15_0|1.1_0|1.6_0|1.8_0|4.0_0|4.11_0|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_1|4.3a_0|4.4_0,9984.16,16,16,16
5,0.1_1|0.1_2|0.2_0|0.3_1|0.3_2|0.3_4|0.4_0|0.5_1|1.11_2|1.12_0|1.6_0|1.7_1|4.11_0|4.11a_2|4.11a_3|4.11b_1|4.13_0|4.2_1|4.2_2|4.3_1|4.3_2,9975.25,233,233,16
6,0.1_1|0.1_2|0.3_2|0.3_3|0.3_4|0.5_1|0.5_2|0.5_4|1.11_2|1.14_0|1.15_0|1.6_0|1.7_1|1.9_0|4.11a_1|4.11b_1|4.13_0|4.1_2|4.2_3|4.3_1|4.3a_0,9964.36,39,39,16
7,0.1_2|0.2_0|0.3_3|0.5_1|0.5_2|0.5_3|1.11_1|1.11_2|1.14_0|1.1_0|1.7_2|1.9_0|4.11b_1|4.11b_2|4.1_1|4.1_2|4.2_2|4.2_3|4.3_1|4.3_2|4.4_0,9951.49,41,41,16
8,0.1_1|0.2_0|0.3_4|0.4_0|0.5_2|0.5_4|0.6_1|1.11_1|1.11_2|1.12_0|1.13_0|1.1_0|1.6_0|4.11a_2|4.11a_3|4.13_0|4.1_1|4.2_2|4.3_1,9936.64,52,52,16
9,0.1_2|0.2_0|0.3_1|0.3_3|0.3_4|0.4_0|0.5_1|0.5_2|0.6_1|1.12_0|1.1_0|1.8_0|4.0_0|4.11_0|4.13_0|4.1_1|4.1_2|4.2_1|4.3_1|4.3_2,9919.81,17,17,16
10,0.1_1|0.1_2|0.3_3|0.4_0|0.5_1|0.5_4|0.6_1|1.0_0|1.11_1|1.12_0|1.14_0|1.15_0|1.7_1|1.7_2|4.11_0|4.11a_1|4.11a_3|4.11b_1|4.2_1|4.3_2|4.3a_0,9901.0,11,11,11
11,0.1_2|0.2_0|0.3_2|0.3_3|0.3_4|0.4_0|0.5_2|0.5_3|0.5_4|0.6_1|1.0_0|1.14_0|1.6_0|4.0_0|4.11_0|4.11a_1|4.11b_1|4.13_0|4.1_1|4.2_1|4.2_2|4.3_1|4.3a_0,9880.21,9,9,9
12,0.2_0|0.3_1|0.3_2|0.3_3|0.3_4|0.4_0|0.5_3|0.6_1|1.0_0|1.11_1|1.11_2|1.14_0|1.15_0|1.1_0|1.6_0|1.7_1|1.7_2|1.8_0|4.11a_1|4.11a_2|4.11a_3|4.11b_2|4.1_2|4.2_1|4.3a_0,9857.44,45,45,9
13,0.3_1|0.3_2|0.3_3|0.4_0|0.5_2|0.5_3|1.0_0|1.11_2|1.15_0|1.1_0|1.7_1|1.8_0|1.9_0|4.11b_2|4.1_2|4.2_2|4.3_2|4.3a_0|4.4_0,9832.69,37,37,9
14,0.2_0|0.3_1|0.3_4|0.5_4|0.6_1|1.0_0|1.11_1|1.12_0|1.14_0|1.1_0|1.6_0|1.7_2|4.11a_3|4.11b_2|4.13_0|4.2_3|4.3_2|4.4_0,9805.96,69,69,9
15,0.1_2|0.3_1|0.3_3|0.4_0|0.5_1|0.5_3|0.5_4|1.0_0|1.11_1|1.11_2|1.12_0|1.15_0|1.7_2|1.8_0|4.0_0|4.11a_3|4.11b_1|4.2_2|4.3_2|4.3a_0,9777.25,41,41,9
16,0.1_2|0.2_0|0.3_1|0.3_4|0.4_0|0.5_1|0.5_2|0.5_3|0.5_4|0.6_1|1.11_2|1.12_0|1.6_0|1.7_1|1.9_0|4.11a_2|4.11b_1|4.11b_2|4.1_1|4.2_1|4.2_2|4.2_3,9746.56,27,27,9
17,0.2_0|0.3_2|0.3_3|0.3_4|0.4_0|0.5_1|0.5_2|1.0_0|1.11_1|1.11_2|1.14_0|1.1_0|1.7_2|4.0_0|4.11_0|4.11a_2|4.11a_3|4.11b_1|4.13_0|4.1_2|4.2_1|4.2_2|4.3_1|4.3_2|4.3a_0,9713.89,21,21,9
18,0.1_2|0.3_1|0.3_2|0.3_3|0.5_1|0.5_2|0.5_3|0.5_4|1.0_0|1.11_1|1.11_2|1.12_0|1.1_0|1.6_0|1.7_2|1.8_0|4.0_0|4.11a_1|4.11b_1|4.11b_2|4.1_1|4.1_2|4.2_1|4.4_0,9679.24,14,14,9
19,0.2_0|0.3_1|0.3_4|0.5_1|0.5_4|0.6_1|1.11_2|1.12_0|1.13_0|1.14_0|1.6_0|1.7_1|1.8_0|4.0_0|4.1_1|4.3_1|4.3a_0|4.4_0,9642.61,46,46,9
20,0.1_1|0.3_4|0.4_0|0.5_1|0.5_2|0.5_3|1.12_0|1.13_0|1.14_0|1.15_0|1.7_1|1.7_2|1.9_0|4.11_0|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_1|4.1_2|4.2_2|4.3a_0,9604.0,136,136,9
21,0.1_1|0.1_2|0.3_1|0.3_2|0.4_0|0.5_1|0.5_2|0.6_1|1.0_0|1.11_1|1.12_0|1.6_0|1.7_1|1.8_0|1.9_0|4.0_0|4.11a_1|4.11a_3|4.11b_1|4.13_0|4.1_1|4.2_1|4.2_3|4.3_2|4.3a_0|4.4_0,9563.41,10,10,9
