Step,Config,Temperature,Candidate_Value,Accepted_Value,Best_Value
0,0.3_1|0.3_2|0.3_3|0.5_3|0.6_1|1.13_0|1.1_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.11b_2|4.13_0|4.3_2|4.3a_0,6158.270776641571,32,32,32
1,0.3_1|0.3_2|0.3_3|0.5_3|0.6_1|1.13_0|1.1_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.11b_2|4.13_0|4.2_3|4.3_2|4.3a_0,5028.281418489414,29,29,29
2,0.3_1|0.3_2|0.3_3|0.5_3|0.6_1|1.13_0|1.1_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.13_0|4.2_3|4.3_2|4.3a_0,4449.061730126365,30,30,29
3,0.3_1|0.3_2|0.3_3|0.5_2|0.5_3|0.6_1|1.13_0|1.1_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.13_0|4.2_3|4.3_2|4.3a_0,4084.1429487023024,16,16,16
4,0.3_1|0.3_2|0.3_3|0.5_2|0.5_3|0.6_1|1.13_0|1.1_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.2_3|4.3_2|4.3a_0,3827.6288258820373,19,19,16
5,0.3_1|0.3_2|0.5_2|0.5_3|0.6_1|1.13_0|1.1_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.2_3|4.3_2|4.3a_0,3634.620163062334,35,35,16
6,0.3_1|0.3_2|0.5_2|0.5_3|0.6_1|1.11_2|1.13_0|1.1_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.2_3|4.3_2|4.3a_0,3482.503603691238,35,35,16
7,0.1_2|0.3_1|0.3_2|0.5_2|0.5_3|0.6_1|1.11_2|1.13_0|1.1_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.2_3|4.3_2|4.3a_0,3358.519859369465,35,35,16
8,0.1_2|0.3_1|0.3_2|0.5_2|0.5_3|0.6_1|1.11_2|1.13_0|1.1_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.3_2|4.3a_0,3254.8623095837847,43,43,16
9,0.1_2|0.3_1|0.5_2|0.5_3|0.6_1|1.11_2|1.13_0|1.1_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.3_2|4.3a_0,3166.4550859927226,43,43,16
10,0.1_2|0.3_1|0.3_4|0.5_2|0.5_3|0.6_1|1.11_2|1.13_0|1.1_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.3_2|4.3a_0,3089.8376620734493,41,41,16
11,0.1_2|0.3_1|0.3_4|0.5_2|0.6_1|1.11_2|1.13_0|1.1_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.3_2|4.3a_0,3022.5593964250993,104,104,16
12,0.1_2|0.3_1|0.3_4|0.5_2|0.6_1|1.11_2|1.13_0|1.1_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.11b_1|4.3_2|4.3a_0,2962.8298799717386,80,80,16
13,0.1_2|0.3_1|0.3_4|0.5_2|1.11_2|1.13_0|1.1_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.11b_1|4.3_2|4.3a_0,2909.306573560749,311,311,16
14,0.1_2|0.3_1|0.3_2|0.3_4|0.5_2|1.11_2|1.13_0|1.1_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.11b_1|4.3_2|4.3a_0,2860.9603182242695,311,311,16
15,0.1_2|0.3_1|0.3_2|0.3_4|0.5_2|1.11_2|1.13_0|1.1_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.11b_1|4.3_1|4.3_2|4.3a_0,2816.9871006820485,238,238,16
16,0.1_2|0.3_1|0.3_2|0.3_4|0.5_2|1.11_2|1.13_0|1.1_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.11b_1|4.3_1|4.3_2|4.3a_0|4.4_0,2776.7483892459236,186,186,16
17,0.1_2|0.3_1|0.3_2|0.3_4|0.5_2|1.11_1|1.11_2|1.13_0|1.1_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.11b_1|4.3_1|4.3_2|4.3a_0|4.4_0,2739.7297194646894,186,186,16
18,0.1_2|0.3_1|0.3_2|0.3_4|0.5_2|1.11_1|1.11_2|1.13_0|1.1_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_3|4.3_1|4.3_2|4.3a_0|4.4_0,2705.511282119949,204,204,16
