ID,Q_0.1_1,Q_0.1_2,Q_0.2_0,Q_0.3_1,Q_0.3_2,Q_0.3_3,Q_0.3_4,Q_0.4_0,Q_0.5_1,Q_0.5_2,Q_0.5_3,Q_0.5_4,Q_0.6_1,Q_1.0_0,Q_1.11_1,Q_1.11_2,Q_1.12_0,Q_1.13_0,Q_1.14_0,Q_1.15_0,Q_1.1_0,Q_1.6_0,Q_1.7_1,Q_1.7_2,Q_1.8_0,Q_1.9_0,Q_4.0_0,Q_4.11_0,Q_4.11a_1,Q_4.11a_2,Q_4.11a_3,Q_4.11b_1,Q_4.11b_2,Q_4.13_0,Q_4.1_1,Q_4.1_2,Q_4.2_1,Q_4.2_2,Q_4.2_3,Q_4.3_1,Q_4.3_2,Q_4.3a_0,Q_4.4_0
31117,2,1,0,1,1,10,1,1,15,17,16,41,7,1,5,5,4,4,3,1,1,4,0,0,,0,1,4,,,,1,1,1,0,0,1,1,0,1,0,2,2
31146,2,1,0,1,1,1,1,1,16,19,16,37,7,1,2,2,1,1,2,1,1,2,1,1,,1,2,,,,,,,,0,0,1,1,0,1,0,,3
31148,2,1,0,1,1,0,1,1,14,19,14,40,6,1,5,3,2,2,3,1,4,4,1,1,,1,1,1,0,0,0,,,2,0,0,1,0,0,1,1,0,3
31149,2,1,0,1,1,8,1,1,14,11,14,21,7,1,1,4,1,1,2,1,1,3,1,1,,1,1,4,,,,5,1,1,0,0,1,1,1,1,0,1,3
31150,1,1,,1,1,0,0,1,16,18,16,20,15,1,5,6,1,1,3,1,1,4,1,1,,1,1,0,,,,,,2,0,0,1,0,0,3,1,,2
31151,1,1,0,1,1,2,1,1,13,18,13,35,4,1,,,,,,,1,,,,,,1,1,1,1,0,,,2,0,0,0,0,0,0,0,,0
31153,8,1,0,1,1,10,1,1,16,18,16,30,10,1,5,4,3,2,1,1,1,3,1,1,,0,1,1,1,0,1,,,1,0,0,1,0,1,3,1,,1
31154,2,1,0,1,1,0,0,1,16,16,0,0,0,1,0,2,0,0,0,0,2,3,0,0,,0,1,5,,,,,,2,0,0,1,1,1,3,0,,2
31155,2,1,0,1,1,12,1,1,15,16,15,30,6,1,4,3,1,1,3,1,1,4,1,1,,1,1,4,,,,5,1,1,0,0,1,0,0,1,1,1,1
31156,2,1,0,1,1,0,1,1,15,10,15,30,13,1,4,2,1,1,2,1,1,3,1,1,0,1,1,2,,,,,,3,0,0,1,0,0,1,0,1,2
