Step,Config,Temperature,Candidate_Value,Accepted_Value,Best_Value
0,0.1_1|0.1_2|0.2_0|0.3_1|0.4_0|0.5_1|0.5_2|0.5_3|1.7_1|1.8_0|1.9_0|4.0_0|4.11a_2|4.11a_3|4.1_1|4.1_2|4.2_2|4.2_3|4.3_1|4.3_2,9000.0,111,111,111
1,0.1_1|0.3_1|0.3_2|0.3_4|0.4_0|0.5_2|0.5_3|1.11_2|1.12_0|1.14_0|1.1_0|1.7_1|4.0_0|4.11_0|4.11a_2|4.11b_1|4.13_0|4.2_1|4.3a_0|4.4_0,8100.000000000001,51,51,51
2,0.1_2|0.3_1|0.3_3|0.4_0|1.11_1|1.12_0|1.15_0|1.6_0|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_3|4.11b_2|4.1_1|4.1_2|4.2_2|4.3_2,7290.000000000001,424,424,51
3,0.1_2|0.2_0|0.3_2|0.3_4|0.5_1|0.5_2|0.5_3|0.6_1|1.12_0|1.14_0|1.1_0|1.7_1|1.8_0|4.0_0|4.11_0|4.11a_3|4.13_0|4.1_2|4.2_1|4.2_2|4.2_3|4.3_2,6561.0,21,21,21
4,0.1_1|0.1_2|0.2_0|0.3_2|0.4_0|0.5_3|0.6_1|1.11_1|1.13_0|1.1_0|1.6_0|1.7_2|1.8_0|4.11_0|4.11a_2|4.11b_1|4.13_0|4.1_2|4.2_2|4.3a_0|4.4_0,5904.900000000001,62,62,21
5,0.1_1|0.2_0|0.3_1|0.3_2|0.3_4|0.5_3|0.6_1|1.0_0|1.11_1|1.15_0|1.6_0|1.7_1|1.7_2|1.9_0|4.0_0|4.11b_2|4.1_1|4.1_2|4.2_1|4.2_2|4.2_3|4.3_2|4.4_0,5314.410000000001,65,65,21
6,0.1_1|0.1_2|0.3_1|0.3_2|0.3_3|0.4_0|0.5_1|0.6_1|1.11_2|1.14_0|1.15_0|1.1_0|1.7_1|1.7_2|1.8_0|4.11a_2|4.11b_1|4.1_2|4.2_1|4.2_3|4.3_2|4.4_0,4782.969000000001,36,36,21
7,0.1_2|0.3_1|0.3_3|0.4_0|0.5_2|0.5_3|0.6_1|1.11_2|1.14_0|1.1_0|1.7_2|1.8_0|1.9_0|4.0_0|4.11a_1|4.11a_3|4.11b_2|4.13_0|4.1_1|4.1_2|4.2_2|4.3a_0|4.4_0,4304.672100000001,8,8,8
8,0.1_1|0.2_0|0.3_1|0.3_4|0.5_1|0.6_1|1.0_0|1.15_0|1.1_0|1.7_1|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_3|4.1_1|4.1_2|4.2_1|4.4_0,3874.204890000001,54,54,8
9,0.1_1|0.1_2|0.2_0|0.3_1|0.3_2|0.5_1|0.5_3|0.5_4|0.6_1|1.11_1|1.12_0|1.1_0|1.7_1|1.7_2|1.9_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.1_2|4.2_1|4.3_1,3486.784401000001,35,35,8
10,0.3_1|0.3_2|0.4_0|0.5_1|0.5_2|0.5_3|1.11_2|1.14_0|1.15_0|1.7_1|1.8_0|4.11_0|4.11b_1|4.11b_2|4.13_0|4.1_1|4.2_2|4.3_2|4.4_0,3138.105960900001,126,126,8
11,0.3_1|0.3_2|0.3_3|0.3_4|0.4_0|0.5_4|0.6_1|1.15_0|1.7_1|1.8_0|4.11_0|4.11a_3|4.11b_1|4.13_0|4.2_3|4.3_1|4.3a_0|4.4_0,2824.295364810001,71,71,8
12,0.1_1|0.1_2|0.3_4|0.4_0|0.5_2|0.5_4|1.0_0|1.11_2|1.1_0|1.7_2|1.9_0|4.0_0|4.11_0|4.11a_3|4.11b_1|4.11b_2|4.1_1|4.2_1|4.3a_0|4.4_0,2541.8658283290006,44,44,8
13,0.2_0|0.3_3|0.3_4|0.5_1|0.5_2|0.5_3|0.5_4|1.0_0|1.12_0|1.6_0|1.9_0|4.11a_1|4.11a_2|4.11a_3|4.2_1|4.2_3,2287.679245496101,37,37,8
14,0.1_1|0.1_2|0.2_0|0.3_3|0.5_1|0.5_2|0.5_3|0.5_4|1.11_2|1.13_0|1.14_0|1.7_1|1.9_0|4.11a_1|4.11a_2|4.11b_2|4.13_0|4.3a_0|4.4_0,2058.911320946491,38,38,8
15,0.1_1|0.2_0|0.3_3|0.5_3|0.5_4|0.6_1|1.0_0|1.13_0|1.8_0|4.0_0|4.11a_2|4.13_0|4.1_2|4.2_2|4.4_0,1853.0201888518416,15,15,8
16,0.1_1|0.1_2|0.3_3|0.5_2|0.5_3|0.6_1|1.11_1|1.1_0|1.7_1|1.7_2|4.0_0|4.11a_1|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_1|4.2_1|4.2_3|4.3_1|4.3a_0,1667.7181699666576,13,13,8
17,0.1_2|0.2_0|0.3_2|0.3_3|0.3_4|0.5_4|0.6_1|1.0_0|1.11_1|1.11_2|1.14_0|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_3|4.1_2|4.2_1|4.2_3|4.3_2|4.4_0,1500.9463529699917,40,40,8
