Step,Config,Temperature,Candidate_Value,Accepted_Value,Best_Value
0,0.3_4|0.5_1|0.6_1|1.0_0|1.6_0|1.7_1|1.7_2|4.0_0|4.11a_1|4.11a_2|4.11b_2|4.2_2|4.2_3|4.3_1|4.3_2|4.3a_0,925.5,68,68,68
1,0.1_1|0.2_0|0.3_1|0.4_0|0.5_1|0.5_4|0.6_1|1.0_0|1.14_0|1.1_0|1.7_1|4.11a_1|4.11a_2|4.11a_3|4.11b_2|4.1_1|4.2_3|4.3_2,922.4,37,37,37
2,0.1_1|0.1_2|0.2_0|0.3_4|0.5_3|1.11_1|1.11_2|1.13_0|1.15_0|1.1_0|1.7_1|1.8_0|4.0_0|4.11_0|4.11a_3|4.11b_1|4.11b_2|4.1_1|4.2_2|4.2_3|4.3_1|4.3_2|4.3a_0|4.4_0,913.1,130,130,37
3,0.2_0|0.3_1|0.3_3|0.5_1|0.5_3|0.5_4|0.6_1|1.11_2|1.13_0|1.1_0|1.6_0|1.7_1|1.8_0|1.9_0|4.11_0|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_2|4.2_1|4.3_1,901.9,18,18,18
4,0.1_2|0.2_0|0.3_3|0.5_1|0.5_2|0.6_1|1.11_1|1.13_0|1.14_0|1.1_0|1.7_1|1.8_0|4.11a_1|4.11a_2|4.13_0|4.1_1|4.2_1|4.2_2|4.3a_0|4.4_0,901.8,17,17,17
5,0.1_2|0.2_0|0.3_3|0.4_0|0.5_2|0.5_4|0.6_1|1.0_0|1.11_1|1.11_2|1.12_0|1.15_0|1.1_0|1.7_1|1.7_2|4.0_0|4.11_0|4.11a_3|4.11b_2|4.1_1|4.1_2|4.2_2|4.3_2|4.4_0,901.0999999999999,10,10,10
6,0.1_1|0.3_2|0.3_3|0.4_0|0.5_1|0.5_2|0.5_4|1.0_0|1.11_1|1.12_0|1.15_0|1.6_0|1.7_2|1.8_0|4.0_0|4.11_0|4.11a_3|4.13_0|4.2_1|4.2_3|4.3_1|4.3_2|4.4_0,900.5999999999999,15,15,10
7,0.1_1|0.2_0|0.3_1|0.3_2|0.3_3|0.5_1|0.5_2|0.6_1|1.0_0|1.13_0|1.15_0|1.7_1|4.11_0|4.11b_2|4.13_0|4.1_2|4.2_1|4.2_3|4.3a_0,900.3,12,12,10
8,0.1_2|0.3_2|0.3_3|0.3_4|0.5_2|0.5_4|0.6_1|1.11_2|1.13_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.11b_2|4.2_2|4.3_1|4.3_2|4.3a_0|4.4_0,898.6999999999999,28,28,10
9,0.1_1|0.2_0|0.3_2|0.5_3|1.13_0|1.1_0|1.9_0|4.11a_1|4.11a_2|4.11b_2|4.1_1|4.1_2|4.2_1|4.2_2|4.4_0,866.6999999999999,348,348,10
10,0.2_0|0.3_3|0.4_0|0.5_1|0.5_4|1.11_2|1.14_0|1.6_0|1.7_1|1.7_2|1.9_0|4.11_0|4.11a_2|4.11a_3|4.11b_1|4.11b_2|4.1_1|4.1_2|4.2_1|4.2_2|4.2_3|4.4_0,842.3,104,104,10
11,0.2_0|0.3_1|0.3_2|0.3_4|0.5_1|0.5_2|0.5_3|0.5_4|0.6_1|1.0_0|1.11_2|1.15_0|1.1_0|1.6_0|1.8_0|4.11b_1|4.11b_2|4.13_0|4.1_2|4.3_1|4.3_2|4.3a_0|4.4_0,832.5,6,6,6
12,0.1_2|0.3_1|0.3_2|0.3_3|0.3_4|0.4_0|0.5_1|0.5_2|0.6_1|1.13_0|1.15_0|1.7_1|1.8_0|1.9_0|4.11a_2|4.11b_1|4.1_1|4.2_1|4.3_2|4.3a_0,830.6,25,25,6
13,0.1_2|0.2_0|0.3_1|0.3_2|0.3_4|0.4_0|0.5_1|0.5_2|0.5_3|0.5_4|0.6_1|1.12_0|1.13_0|1.14_0|1.15_0|1.8_0|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11b_1|4.11b_2|4.2_1|4.2_2|4.2_3|4.3_2,829.6,15,15,6
14,0.1_1|0.2_0|0.3_4|0.4_0|0.5_1|0.5_3|1.11_1|1.13_0|1.14_0|1.15_0|1.1_0|1.8_0|1.9_0|4.0_0|4.11a_2|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_1|4.2_1|4.2_3|4.3_2|4.3a_0|4.4_0,822.0,91,91,6
15,0.1_1|0.3_1|0.3_4|0.5_1|0.5_2|0.5_3|0.6_1|1.0_0|1.13_0|1.14_0|1.7_1|1.7_2|4.0_0|4.11a_1|4.11a_3|4.13_0|4.1_1|4.2_1|4.2_3|4.3_1|4.3a_0,814.6,17,17,6
16,0.1_2|0.2_0|0.3_2|0.3_3|0.5_1|0.5_2|0.5_3|1.11_2|1.15_0|1.1_0|1.7_2|1.8_0|4.0_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.2_1|4.2_2|4.2_3|4.3_1|4.3_2|4.3a_0|4.4_0,814.1,22,22,6
17,0.3_1|0.3_2|0.4_0|0.5_3|0.6_1|1.11_1|1.12_0|1.14_0|1.15_0|1.1_0|1.8_0|4.11_0|4.11a_1|4.11b_1|4.11b_2|4.2_1|4.2_2|4.2_3|4.3_1|4.3_2|4.3a_0,807.7,86,86,6
18,0.1_1|0.1_2|0.3_3|0.3_4|0.4_0|0.5_1|0.5_2|0.5_4|0.6_1|1.11_1|1.12_0|1.14_0|1.15_0|1.1_0|1.8_0|1.9_0|4.0_0|4.11a_3|4.11b_1|4.13_0|4.1_1|4.1_2|4.3_2|4.3a_0|4.4_0,799.6,5,5,5
19,0.1_2|0.2_0|0.3_2|0.3_4|0.4_0|0.5_1|0.6_1|1.11_1|1.11_2|1.12_0|1.15_0|1.1_0|1.7_1|4.11a_1|4.11a_2|4.11b_2|4.13_0|4.1_2|4.2_2|4.2_3|4.3_1|4.3_2|4.3a_0,790.5,96,96,5
20,0.1_1|0.2_0|0.5_2|0.5_3|0.6_1|1.12_0|1.1_0|1.7_2|4.0_0|4.11a_3|4.11b_1|4.11b_2|4.1_1|4.2_1|4.2_3|4.3_2|4.3a_0,784.0,31,31,5
21,0.1_1|0.2_0|0.3_2|0.3_4|0.5_1|0.5_2|0.5_3|0.6_1|1.0_0|1.11_1|1.11_2|1.13_0|1.14_0|1.9_0|4.11a_2|4.11a_3|4.1_1|4.2_1|4.2_3|4.3_2|4.4_0,783.3,24,24,5
22,0.2_0|0.3_1|0.3_3|0.5_1|0.5_2|0.5_3|0.5_4|0.6_1|1.11_2|1.13_0|1.14_0|1.7_1|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11b_2|4.1_1|4.1_2|4.3a_0,782.1999999999999,13,13,5
23,0.1_2|0.3_1|0.3_2|0.3_3|0.5_1|0.5_2|0.6_1|1.12_0|1.14_0|1.7_2|4.0_0|4.11a_1|4.11a_2|4.13_0|4.1_1|4.2_1,779.5999999999999,39,13,5
24,0.1_2|0.3_2|0.3_3|0.3_4|0.4_0|0.5_1|0.5_2|0.5_4|1.13_0|1.14_0|1.6_0|1.7_1|1.7_2|4.0_0|4.11_0|4.11a_2|4.11a_3|4.11b_2|4.1_1|4.2_1|4.3_1|4.3_2|4.3a_0|4.4_0,778.3,26,26,5
25,0.1_1|0.3_1|0.3_3|0.5_1|0.5_3|0.5_4|0.6_1|1.0_0|1.12_0|1.1_0|1.7_1|1.8_0|4.11_0|4.11a_3|4.1_1|4.2_2|4.3_2|4.4_0,776.4,7,7,5
26,0.1_2|0.3_2|0.3_4|0.4_0|0.5_1|0.5_3|0.5_4|1.14_0|1.15_0|1.1_0|1.7_1|1.7_2|1.9_0|4.0_0|4.11_0|4.11a_3|4.13_0|4.1_1|4.1_2|4.2_1|4.3_1|4.3_2,768.5,86,86,5
27,0.1_1|0.3_1|0.3_2|0.4_0|0.5_1|0.5_2|0.6_1|1.11_2|1.13_0|1.14_0|1.6_0|1.7_1|4.11_0|4.11a_1|4.11a_2|4.11b_2|4.13_0|4.2_2|4.2_3|4.3_2|4.3a_0,765.2,53,53,5
