Step,Config,Temperature,Candidate_Value,Accepted_Value,Best_Value
0,0.1_1|0.2_0|0.3_1|0.4_0|0.5_1|0.5_2|0.6_1|1.11_1|1.13_0|1.6_0|1.7_2|1.8_0|1.9_0|4.11_0|4.11a_3|4.2_2|4.2_3|4.3_1|4.3_2|4.4_0,6158.270776641571,42,42,42
1,0.1_1|0.1_2|0.3_2|0.3_4|0.4_0|0.5_2|0.5_3|0.6_1|1.0_0|1.11_1|1.12_0|1.13_0|1.1_0|1.7_1|1.8_0|1.9_0|4.11_0|4.11a_1|4.11b_2|4.13_0|4.1_2|4.2_1|4.2_2|4.2_3|4.3_1|4.3a_0|4.4_0,5028.281418489414,8,8,8
2,0.1_2|0.5_1|0.5_2|0.5_3|0.6_1|1.13_0|1.14_0|1.6_0|1.7_2|4.11a_1|4.11b_1|4.1_1|4.2_3|4.4_0,4449.061730126365,49,49,8
3,0.1_1|0.2_0|0.3_1|0.3_2|0.3_4|0.5_2|0.5_3|0.6_1|1.0_0|1.11_1|1.11_2|1.14_0|1.15_0|1.9_0|4.11b_1|4.13_0|4.2_1|4.2_2|4.2_3|4.3_1|4.3_2|4.3a_0,4084.1429487023024,22,22,8
4,0.1_2|0.3_1|0.3_3|0.5_3|0.5_4|1.0_0|1.12_0|1.13_0|1.14_0|1.15_0|1.7_2|1.8_0|4.11a_1|4.11a_2|4.11b_2|4.2_1|4.2_3|4.3_2|4.3a_0|4.4_0,3827.6288258820373,90,90,8
5,0.1_1|0.3_1|0.3_3|0.4_0|0.5_4|1.11_2|1.12_0|1.13_0|1.7_1|1.7_2|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11b_1|4.13_0|4.2_2|4.3_1,3634.620163062334,152,152,8
6,0.2_0|0.3_3|0.3_4|0.4_0|0.5_1|0.5_3|0.6_1|1.11_1|1.12_0|1.13_0|1.6_0|1.7_1|1.7_2|4.11_0|4.11a_2|4.11b_1|4.11b_2|4.1_1|4.1_2|4.2_2,3482.503603691238,61,61,8
7,0.2_0|0.3_1|0.3_3|0.3_4|0.4_0|0.6_1|1.11_1|1.11_2|1.12_0|1.13_0|1.14_0|1.1_0|1.7_1|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11a_3|4.13_0|4.1_2|4.2_1|4.2_3|4.4_0,3358.519859369465,77,77,8
8,0.1_1|0.1_2|0.3_2|0.5_1|0.5_2|0.5_3|0.5_4|0.6_1|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.7_1|1.8_0|4.11_0|4.11a_2|4.11b_2|4.1_1|4.1_2|4.2_1|4.3_1|4.3_2|4.3a_0|4.4_0,3254.8623095837847,8,8,8
9,0.1_2|0.3_1|0.3_2|0.3_3|0.4_0|0.5_3|0.5_4|0.6_1|1.11_1|1.11_2|1.13_0|1.6_0|1.7_2|1.9_0|4.11a_1|4.11a_3|4.11b_2|4.2_1|4.2_2|4.2_3,3166.4550859927226,71,71,8
